,loss,accuracy,val_loss,val_accuracy
0,1.8300968495365304,0.27969348430633545,1.9651224731488992,0.04580152779817581
1,0.8854770315561258,0.7222222089767456,1.4837693485594887,0.2748091518878937
2,0.5714455887504007,0.8352490663528442,1.1877136030269944,0.7175572514533997
3,0.45913043504017065,0.8448275923728943,0.9131076354106874,0.7099236845970154
4,0.3597956358016222,0.8793103694915771,0.8648218398785773,0.6564885377883911
5,0.2981119960318123,0.8927202820777893,0.9214730435655317,0.6412213444709778
6,0.24037190461067404,0.9176245331764221,0.8671486072867881,0.6412213444709778
7,0.18937364700196804,0.9329501986503601,0.8053431524575212,0.6717557311058044
8,0.16149021259783786,0.9444444179534912,1.0855763022226232,0.6412213444709778
9,0.1031149161615591,0.977011501789093,1.4391417749055468,0.6030534505844116
10,0.11039223170828545,0.9559386968612671,1.4719386546666386,0.6259542107582092
11,0.11180304353378742,0.9578543901443481,1.076517163342192,0.6793892979621887
12,0.08772156511743863,0.9731800556182861,0.7694802211441156,0.7404580116271973
13,0.07864944963676719,0.977011501789093,0.8596389234521007,0.7557252049446106
14,0.08178222326426214,0.975095808506012,1.5728056257917682,0.6641221642494202
15,0.05542375816039427,0.984674334526062,2.1266768597464525,0.6259542107582092
16,0.04708625811555377,0.982758641242981,1.9002772869954583,0.6488549709320068
17,0.04399405858725652,0.984674334526062,1.0284015222360159,0.7480915784835815
18,0.02017873660500707,0.9961685538291931,0.6473284259097267,0.8015267252922058
19,0.030456282284067965,0.99042147397995,0.5154193039158829,0.8244274854660034
20,0.0325453351002001,0.9885057210922241,0.5336866292334695,0.8320610523223877
21,0.025551398161627437,0.9942528605461121,0.5705434707284883,0.8396946787834167
22,0.030491329340613892,0.99042147397995,0.5739783963174311,0.847328245639801
23,0.03530064057844238,0.984674334526062,0.5596145937460979,0.8320610523223877
24,0.044005819695370124,0.9865900278091431,0.9888287286722023,0.7022900581359863
25,0.0534061419775788,0.977011501789093,1.005501228434439,0.7480915784835815
26,0.030518436947145223,0.992337167263031,1.0862772155354041,0.7480915784835815
27,0.06849365226810235,0.977011501789093,1.3497137013282485,0.7022900581359863
28,0.0409657547162967,0.9865900278091431,1.0768111935098663,0.732824444770813
29,0.04161300453030901,0.984674334526062,0.8735004545168112,0.7251908183097839
