,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.5609756112098694,0.67415833,300,100,50,100,0.001,0.8,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.6441717743873596,0.67415833,300,100,50,100,0.001,0.8,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.7423312664031982,0.67415833,300,100,50,100,0.001,0.8,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.8159509301185608,0.67415833,300,100,50,100,0.001,0.8,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.6073619723320007,0.67415833,300,100,50,100,0.001,0.8,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
