,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.8214285969734192,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.8478260869565217, 'recall': 0.9285714285714286, 'f1-score': 0.8863636363636365, 'support': 42}, 'LumB': {'precision': 0.7368421052631579, 'recall': 0.7777777777777778, 'f1-score': 0.7567567567567567, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.6902669717772694, 'recall': 0.6126984126984126, 'f1-score': 0.6279344234516648, 'support': 84}, 'weighted avg': {'precision': 0.8095855580981438, 'recall': 0.8214285714285714, 'f1-score': 0.8047692677003023, 'support': 84}}",0.77419835,50,64,100,0.001,0.8
1,2,0.7976190447807312,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.8717948717948718, 'recall': 0.8095238095238095, 'f1-score': 0.8395061728395062, 'support': 42}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.8888888888888888, 'f1-score': 0.6956521739130435, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.7976190476190477, 'recall': 0.7976190476190477, 'f1-score': 0.7976190476190477, 'support': 84}, 'macro avg': {'precision': 0.8886446886446887, 'recall': 0.6634920634920635, 'f1-score': 0.6959205582393988, 'support': 84}, 'weighted avg': {'precision': 0.8440607012035583, 'recall': 0.7976190476190477, 'f1-score': 0.7903822559619661, 'support': 84}}",0.77419835,50,64,100,0.001,0.8
2,3,0.7976190447807312,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 7}, 'LumA': {'precision': 0.7547169811320755, 'recall': 0.9523809523809523, 'f1-score': 0.8421052631578947, 'support': 42}, 'LumB': {'precision': 0.75, 'recall': 0.3333333333333333, 'f1-score': 0.46153846153846156, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7976190476190477, 'recall': 0.7976190476190477, 'f1-score': 0.7976190476190477, 'support': 84}, 'macro avg': {'precision': 0.6626100628930818, 'recall': 0.6571428571428573, 'f1-score': 0.6404988598818, 'support': 84}, 'weighted avg': {'precision': 0.7665449985025458, 'recall': 0.7976190476190477, 'f1-score': 0.758651048487709, 'support': 84}}",0.77419835,50,64,100,0.001,0.8
3,4,0.738095223903656,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9285714285714286, 'f1-score': 0.9285714285714286, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.7608695652173914, 'recall': 0.8333333333333334, 'f1-score': 0.7954545454545455, 'support': 42}, 'LumB': {'precision': 0.5, 'recall': 0.5555555555555556, 'f1-score': 0.5263157894736842, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.7380952380952381, 'recall': 0.7380952380952381, 'f1-score': 0.7380952380952381, 'support': 84}, 'macro avg': {'precision': 0.8378881987577639, 'recall': 0.6158730158730159, 'f1-score': 0.6700683526999316, 'support': 84}, 'weighted avg': {'precision': 0.7613871635610766, 'recall': 0.7380952380952381, 'f1-score': 0.7331282752335384, 'support': 84}}",0.77419835,50,64,100,0.001,0.8
4,5,0.761904776096344,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.5714285714285714, 'f1-score': 0.6153846153846153, 'support': 7}, 'LumA': {'precision': 0.75, 'recall': 0.9285714285714286, 'f1-score': 0.8297872340425532, 'support': 42}, 'LumB': {'precision': 0.8, 'recall': 0.4444444444444444, 'f1-score': 0.5714285714285714, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1-score': 0.7619047619047619, 'support': 84}, 'macro avg': {'precision': 0.7147619047619047, 'recall': 0.626984126984127, 'f1-score': 0.6547486555997193, 'support': 84}, 'weighted avg': {'precision': 0.7626984126984127, 'recall': 0.7619047619047619, 'f1-score': 0.7457675050380218, 'support': 84}}",0.77419835,50,64,100,0.001,0.8
5,6,0.800000011920929,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.42857142857142855, 'recall': 0.5, 'f1-score': 0.4615384615384615, 'support': 6}, 'LumA': {'precision': 0.9444444444444444, 'recall': 0.8292682926829268, 'f1-score': 0.883116883116883, 'support': 41}, 'LumB': {'precision': 0.6086956521739131, 'recall': 0.7777777777777778, 'f1-score': 0.6829268292682927, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8000000000000002, 'support': 80}, 'macro avg': {'precision': 0.5820565907522429, 'recall': 0.6214092140921409, 'f1-score': 0.5981090273773201, 'support': 80}, 'weighted avg': {'precision': 0.8040200138026226, 'recall': 0.8, 'f1-score': 0.7973528052796345, 'support': 80}}",0.77419835,50,64,100,0.001,0.8
6,7,0.7594936490058899,"{'Basal': {'precision': 0.8461538461538461, 'recall': 0.8461538461538461, 'f1-score': 0.8461538461538461, 'support': 13}, 'Her2': {'precision': 0.5714285714285714, 'recall': 0.6666666666666666, 'f1-score': 0.6153846153846153, 'support': 6}, 'LumA': {'precision': 0.8292682926829268, 'recall': 0.8292682926829268, 'f1-score': 0.8292682926829268, 'support': 41}, 'LumB': {'precision': 0.5882352941176471, 'recall': 0.5882352941176471, 'f1-score': 0.5882352941176471, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.759493670886076, 'recall': 0.759493670886076, 'f1-score': 0.759493670886076, 'support': 79}, 'macro avg': {'precision': 0.7670172008765983, 'recall': 0.6860648199242173, 'f1-score': 0.7091417430011404, 'support': 79}, 'weighted avg': {'precision': 0.7649186256781194, 'recall': 0.759493670886076, 'f1-score': 0.7598182408308991, 'support': 79}}",0.77419835,50,64,100,0.001,0.8
7,8,0.797468364238739,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 6}, 'LumA': {'precision': 0.7916666666666666, 'recall': 0.926829268292683, 'f1-score': 0.8539325842696629, 'support': 41}, 'LumB': {'precision': 0.8, 'recall': 0.47058823529411764, 'f1-score': 0.5925925925925927, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7974683544303798, 'recall': 0.7974683544303798, 'f1-score': 0.7974683544303798, 'support': 79}, 'macro avg': {'precision': 0.6516666666666667, 'recall': 0.6128168340506934, 'f1-score': 0.6204738665412822, 'support': 79}, 'weighted avg': {'precision': 0.7863924050632911, 'recall': 0.7974683544303798, 'f1-score': 0.7787389235974075, 'support': 79}}",0.77419835,50,64,100,0.001,0.8
8,9,0.6962025165557861,"{'Basal': {'precision': 0.75, 'recall': 0.9230769230769231, 'f1-score': 0.8275862068965517, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 6}, 'LumA': {'precision': 0.7391304347826086, 'recall': 0.8292682926829268, 'f1-score': 0.7816091954022988, 'support': 41}, 'LumB': {'precision': 0.42857142857142855, 'recall': 0.35294117647058826, 'f1-score': 0.3870967741935484, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6962025316455697, 'recall': 0.6962025316455697, 'f1-score': 0.6962025316455697, 'support': 79}, 'macro avg': {'precision': 0.5835403726708074, 'recall': 0.5210572784460876, 'f1-score': 0.5325917686318131, 'support': 79}, 'weighted avg': {'precision': 0.6751906596430537, 'recall': 0.6962025316455697, 'f1-score': 0.6757625678789841, 'support': 79}}",0.77419835,50,64,100,0.001,0.8
9,10,0.7721518874168396,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 6}, 'LumA': {'precision': 0.813953488372093, 'recall': 0.8536585365853658, 'f1-score': 0.8333333333333333, 'support': 41}, 'LumB': {'precision': 0.6923076923076923, 'recall': 0.5294117647058824, 'f1-score': 0.5999999999999999, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7721518987341772, 'recall': 0.7721518987341772, 'f1-score': 0.7721518987341772, 'support': 79}, 'macro avg': {'precision': 0.6345855694692905, 'recall': 0.6099473935915829, 'f1-score': 0.6178354978354978, 'support': 79}, 'weighted avg': {'precision': 0.7747846893563702, 'recall': 0.7721518987341772, 'f1-score': 0.7696421721738177, 'support': 79}}",0.77419835,50,64,100,0.001,0.8
