,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.7142857313156128,"{'Basal': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6779661016949152, 'recall': 0.9523809523809523, 'f1-score': 0.7920792079207921, 'support': 42}, 'LumB': {'precision': 0.6153846153846154, 'recall': 0.4444444444444444, 'f1-score': 0.5161290322580646, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7142857142857143, 'recall': 0.7142857142857143, 'f1-score': 0.7142857142857143, 'support': 84}, 'macro avg': {'precision': 0.4586701434159061, 'recall': 0.4507936507936508, 'f1-score': 0.44625703265115596, 'support': 84}, 'weighted avg': {'precision': 0.6375178493822562, 'recall': 0.7142857142857143, 'f1-score': 0.6604848361475637, 'support': 84}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.5952380895614624,"{'Basal': {'precision': 0.8888888888888888, 'recall': 0.5714285714285714, 'f1-score': 0.6956521739130435, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.56, 'recall': 1.0, 'f1-score': 0.717948717948718, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5952380952380952, 'recall': 0.5952380952380952, 'f1-score': 0.5952380952380952, 'support': 84}, 'macro avg': {'precision': 0.2897777777777778, 'recall': 0.3142857142857143, 'f1-score': 0.2827201783723523, 'support': 84}, 'weighted avg': {'precision': 0.42814814814814817, 'recall': 0.5952380952380952, 'f1-score': 0.47491638795986624, 'support': 84}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.5357142686843872,"{'Basal': {'precision': 1.0, 'recall': 0.14285714285714285, 'f1-score': 0.25, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5454545454545454, 'recall': 1.0, 'f1-score': 0.7058823529411764, 'support': 42}, 'LumB': {'precision': 0.2, 'recall': 0.05555555555555555, 'f1-score': 0.08695652173913045, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5357142857142857, 'recall': 0.5357142857142857, 'f1-score': 0.5357142857142857, 'support': 84}, 'macro avg': {'precision': 0.34909090909090906, 'recall': 0.23968253968253966, 'f1-score': 0.20856777493606135, 'support': 84}, 'weighted avg': {'precision': 0.48225108225108226, 'recall': 0.5357142857142857, 'f1-score': 0.4132413835099257, 'support': 84}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.5476190447807312,"{'Basal': {'precision': 1.0, 'recall': 0.21428571428571427, 'f1-score': 0.35294117647058826, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.525, 'recall': 1.0, 'f1-score': 0.6885245901639345, 'support': 42}, 'LumB': {'precision': 1.0, 'recall': 0.05555555555555555, 'f1-score': 0.10526315789473684, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5476190476190477, 'recall': 0.5476190476190477, 'f1-score': 0.5476190476190477, 'support': 84}, 'macro avg': {'precision': 0.505, 'recall': 0.25396825396825395, 'f1-score': 0.22934578490585195, 'support': 84}, 'weighted avg': {'precision': 0.6434523809523809, 'recall': 0.5476190476190477, 'f1-score': 0.4256422154711755, 'support': 84}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.5,"{'Basal': {'precision': 0.5, 'recall': 0.07142857142857142, 'f1-score': 0.125, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5125, 'recall': 0.9761904761904762, 'f1-score': 0.6721311475409836, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.20249999999999999, 'recall': 0.20952380952380953, 'f1-score': 0.1594262295081967, 'support': 84}, 'weighted avg': {'precision': 0.3395833333333333, 'recall': 0.5, 'f1-score': 0.3568989071038251, 'support': 84}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.75,"{'Basal': {'precision': 0.52, 'recall': 1.0, 'f1-score': 0.6842105263157895, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.9024390243902439, 'recall': 0.9024390243902439, 'f1-score': 0.9024390243902439, 'support': 41}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.5555555555555556, 'f1-score': 0.6250000000000001, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 80}, 'macro avg': {'precision': 0.42734494773519166, 'recall': 0.49159891598915983, 'f1-score': 0.4423299101412067, 'support': 80}, 'weighted avg': {'precision': 0.7077142857142856, 'recall': 0.75, 'f1-score': 0.7143092105263158, 'support': 80}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.7088607549667358,"{'Basal': {'precision': 0.75, 'recall': 0.9230769230769231, 'f1-score': 0.8275862068965517, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.7551020408163265, 'recall': 0.9024390243902439, 'f1-score': 0.8222222222222222, 'support': 41}, 'LumB': {'precision': 0.5384615384615384, 'recall': 0.4117647058823529, 'f1-score': 0.4666666666666667, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7088607594936709, 'recall': 0.7088607594936709, 'f1-score': 0.7088607594936709, 'support': 79}, 'macro avg': {'precision': 0.408712715855573, 'recall': 0.447456130669904, 'f1-score': 0.42329501915708817, 'support': 79}, 'weighted avg': {'precision': 0.6311775927508295, 'recall': 0.7088607594936709, 'f1-score': 0.6633299384063243, 'support': 79}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.6582278609275818,"{'Basal': {'precision': 0.6666666666666666, 'recall': 0.7692307692307693, 'f1-score': 0.7142857142857142, 'support': 13}, 'Her2': {'precision': 0.2, 'recall': 0.16666666666666666, 'f1-score': 0.1818181818181818, 'support': 6}, 'LumA': {'precision': 0.7017543859649122, 'recall': 0.975609756097561, 'f1-score': 0.8163265306122448, 'support': 41}, 'LumB': {'precision': 0.5, 'recall': 0.058823529411764705, 'f1-score': 0.10526315789473684, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6582278481012658, 'recall': 0.6582278481012658, 'f1-score': 0.6582278481012658, 'support': 79}, 'macro avg': {'precision': 0.41368421052631577, 'recall': 0.39406614428135234, 'f1-score': 0.36353871692217554, 'support': 79}, 'weighted avg': {'precision': 0.5966910948256718, 'recall': 0.6582278481012658, 'f1-score': 0.5776643647586827, 'support': 79}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.6962025165557861,"{'Basal': {'precision': 0.6875, 'recall': 0.8461538461538461, 'f1-score': 0.7586206896551724, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.7727272727272727, 'recall': 0.8292682926829268, 'f1-score': 0.7999999999999999, 'support': 41}, 'LumB': {'precision': 0.625, 'recall': 0.5882352941176471, 'f1-score': 0.6060606060606061, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6962025316455697, 'recall': 0.6962025316455697, 'f1-score': 0.6962025316455697, 'support': 79}, 'macro avg': {'precision': 0.4170454545454545, 'recall': 0.452731486590884, 'f1-score': 0.4329362591431557, 'support': 79}, 'weighted avg': {'precision': 0.6486622554660529, 'recall': 0.6962025316455697, 'f1-score': 0.6704442945385765, 'support': 79}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.746835470199585,"{'Basal': {'precision': 0.6842105263157895, 'recall': 1.0, 'f1-score': 0.8125000000000001, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.8043478260869565, 'recall': 0.9024390243902439, 'f1-score': 0.8505747126436782, 'support': 41}, 'LumB': {'precision': 0.6923076923076923, 'recall': 0.5294117647058824, 'f1-score': 0.5999999999999999, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7468354430379747, 'recall': 0.7468354430379747, 'f1-score': 0.7468354430379747, 'support': 79}, 'macro avg': {'precision': 0.4361732089420876, 'recall': 0.4863701578192252, 'f1-score': 0.4526149425287356, 'support': 79}, 'weighted avg': {'precision': 0.679015550391155, 'recall': 0.7468354430379747, 'f1-score': 0.704253964789757, 'support': 79}}",0.64529836,300,100,64,100,0.001,0,0.4,True,False,False,categorical_crossentropy,binary_crossentropy
