,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5060240963855421, 'recall': 1.0, 'f1-score': 0.6719999999999999, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.10120481927710842, 'recall': 0.2, 'f1-score': 0.1344, 'support': 84}, 'weighted avg': {'precision': 0.25301204819277107, 'recall': 0.5, 'f1-score': 0.33599999999999997, 'support': 84}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5, 'recall': 1.0, 'f1-score': 0.6666666666666666, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.1, 'recall': 0.2, 'f1-score': 0.13333333333333333, 'support': 84}, 'weighted avg': {'precision': 0.25, 'recall': 0.5, 'f1-score': 0.3333333333333333, 'support': 84}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.511904776096344,"{'Basal': {'precision': 1.0, 'recall': 0.07142857142857142, 'f1-score': 0.13333333333333333, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5060240963855421, 'recall': 1.0, 'f1-score': 0.6719999999999999, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5119047619047619, 'recall': 0.5119047619047619, 'f1-score': 0.5119047619047619, 'support': 84}, 'macro avg': {'precision': 0.30120481927710846, 'recall': 0.21428571428571427, 'f1-score': 0.16106666666666664, 'support': 84}, 'weighted avg': {'precision': 0.41967871485943775, 'recall': 0.5119047619047619, 'f1-score': 0.35822222222222216, 'support': 84}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5060240963855421, 'recall': 1.0, 'f1-score': 0.6719999999999999, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.10120481927710842, 'recall': 0.2, 'f1-score': 0.1344, 'support': 84}, 'weighted avg': {'precision': 0.25301204819277107, 'recall': 0.5, 'f1-score': 0.33599999999999997, 'support': 84}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8333333134651184,"{'Basal': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.14285714285714285, 'f1-score': 0.22222222222222224, 'support': 7}, 'LumA': {'precision': 0.8863636363636364, 'recall': 0.9285714285714286, 'f1-score': 0.9069767441860465, 'support': 42}, 'LumB': {'precision': 0.7272727272727273, 'recall': 0.8888888888888888, 'f1-score': 0.7999999999999999, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.5977272727272727, 'recall': 0.592063492063492, 'f1-score': 0.5725064599483204, 'support': 84}, 'weighted avg': {'precision': 0.786525974025974, 'recall': 0.8333333333333334, 'f1-score': 0.7989910175956687, 'support': 84}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.6000000238418579,"{'Basal': {'precision': 1.0, 'recall': 0.5384615384615384, 'f1-score': 0.7000000000000001, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5774647887323944, 'recall': 1.0, 'f1-score': 0.7321428571428571, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6, 'recall': 0.6, 'f1-score': 0.6, 'support': 80}, 'macro avg': {'precision': 0.3154929577464789, 'recall': 0.30769230769230765, 'f1-score': 0.2864285714285714, 'support': 80}, 'weighted avg': {'precision': 0.4584507042253521, 'recall': 0.6, 'f1-score': 0.48897321428571433, 'support': 80}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.7848101258277893,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 13}, 'Her2': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 6}, 'LumA': {'precision': 0.8378378378378378, 'recall': 0.7560975609756098, 'f1-score': 0.7948717948717948, 'support': 41}, 'LumB': {'precision': 0.5555555555555556, 'recall': 0.5882352941176471, 'f1-score': 0.5714285714285715, 'support': 17}, 'Normal': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.762012012012012, 'recall': 0.8688665710186513, 'f1-score': 0.8046886446886446, 'support': 79}, 'weighted avg': {'precision': 0.7927737864446726, 'recall': 0.7848101265822784, 'f1-score': 0.785403625909955, 'support': 79}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.5189873576164246,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5189873417721519, 'recall': 1.0, 'f1-score': 0.6833333333333332, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5189873417721519, 'recall': 0.5189873417721519, 'f1-score': 0.5189873417721519, 'support': 79}, 'macro avg': {'precision': 0.10379746835443038, 'recall': 0.2, 'f1-score': 0.13666666666666666, 'support': 79}, 'weighted avg': {'precision': 0.2693478609197244, 'recall': 0.5189873417721519, 'f1-score': 0.35464135021097043, 'support': 79}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.5316455960273743,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5428571428571428, 'recall': 0.926829268292683, 'f1-score': 0.6846846846846847, 'support': 41}, 'LumB': {'precision': 0.4444444444444444, 'recall': 0.23529411764705882, 'f1-score': 0.30769230769230765, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5316455696202531, 'recall': 0.5316455696202531, 'f1-score': 0.5316455696202531, 'support': 79}, 'macro avg': {'precision': 0.19746031746031745, 'recall': 0.23242467718794835, 'f1-score': 0.19847539847539847, 'support': 79}, 'weighted avg': {'precision': 0.3773759292746634, 'recall': 0.5316455696202531, 'f1-score': 0.4215549532005228, 'support': 79}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.7215189933776855,"{'Basal': {'precision': 0.7647058823529411, 'recall': 1.0, 'f1-score': 0.8666666666666666, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.7954545454545454, 'recall': 0.8536585365853658, 'f1-score': 0.8235294117647058, 'support': 41}, 'LumB': {'precision': 0.6923076923076923, 'recall': 0.5294117647058824, 'f1-score': 0.5999999999999999, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7215189873417721, 'recall': 0.7215189873417721, 'f1-score': 0.7215189873417721, 'support': 79}, 'macro avg': {'precision': 0.4504936240230357, 'recall': 0.4766140602582496, 'f1-score': 0.4580392156862745, 'support': 79}, 'weighted avg': {'precision': 0.6876461215627261, 'recall': 0.7215189873417721, 'f1-score': 0.6991312980888558, 'support': 79}}",0.6002201,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
