,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.9156388640403748,0.89744633,300,100,50,100,0.01,0,0.4
1,2,0.9262011051177979,0.89744633,300,100,50,100,0.01,0,0.4
2,3,0.8822652697563171,0.89744633,300,100,50,100,0.01,0,0.4
3,4,0.9192824959754944,0.89744633,300,100,50,100,0.01,0,0.4
4,5,0.8438438177108765,0.89744633,300,100,50,100,0.01,0,0.4
