,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.9240256547927856,0.92727345,300,100,50,100,0.01,0.8,0.5
1,2,0.9157999157905579,0.92727345,300,100,50,100,0.01,0.8,0.5
2,3,0.9374068379402161,0.92727345,300,100,50,100,0.01,0.8,0.5
3,4,0.9387145042419434,0.92727345,300,100,50,100,0.01,0.8,0.5
4,5,0.9204204082489014,0.92727345,300,100,50,100,0.01,0.8,0.5
