,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.8666666746139526,"{'Basal': {'precision': 0.9655172413793104, 'recall': 1.0, 'f1-score': 0.9824561403508771, 'support': 28}, 'Her2': {'precision': 1.0, 'recall': 0.38461538461538464, 'f1-score': 0.5555555555555556, 'support': 13}, 'LumA': {'precision': 0.9605263157894737, 'recall': 0.8795180722891566, 'f1-score': 0.9182389937106917, 'support': 83}, 'LumB': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 36}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8666666666666667, 'recall': 0.8666666666666667, 'f1-score': 0.8666666666666667, 'support': 165}, 'macro avg': {'precision': 0.91854204476709, 'recall': 0.6928266913809082, 'f1-score': 0.7179168045900917, 'support': 165}, 'weighted avg': {'precision': 0.9015646482978606, 'recall': 0.8666666666666667, 'f1-score': 0.8570393775557629, 'support': 165}}",0.853088,100,20,200,100,0.01,0.6,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.8159509301185608,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 0.9, 'recall': 0.6923076923076923, 'f1-score': 0.7826086956521738, 'support': 13}, 'LumA': {'precision': 0.8043478260869565, 'recall': 0.891566265060241, 'f1-score': 0.8457142857142858, 'support': 83}, 'LumB': {'precision': 0.6764705882352942, 'recall': 0.6571428571428571, 'f1-score': 0.6666666666666666, 'support': 35}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5}, 'micro avg': {'precision': 0.8159509202453987, 'recall': 0.8159509202453987, 'f1-score': 0.8159509202453987, 'support': 163}, 'macro avg': {'precision': 0.6761636828644502, 'recall': 0.648203362902158, 'f1-score': 0.6589979296066252, 'support': 163}, 'weighted avg': {'precision': 0.7922536205733295, 'recall': 0.8159509202453987, 'f1-score': 0.8018498901294313, 'support': 163}}",0.853088,100,20,200,100,0.01,0.6,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.8711656332015991,"{'Basal': {'precision': 0.9310344827586207, 'recall': 1.0, 'f1-score': 0.9642857142857143, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.5384615384615384, 'f1-score': 0.7000000000000001, 'support': 13}, 'LumA': {'precision': 0.8876404494382022, 'recall': 0.9518072289156626, 'f1-score': 0.9186046511627907, 'support': 83}, 'LumB': {'precision': 0.75, 'recall': 0.7714285714285715, 'f1-score': 0.7605633802816902, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285715, 'support': 5}, 'micro avg': {'precision': 0.8711656441717791, 'recall': 0.8711656441717791, 'f1-score': 0.8711656441717791, 'support': 163}, 'macro avg': {'precision': 0.9137349864393645, 'recall': 0.7323394677611544, 'f1-score': 0.7829764634317533, 'support': 163}, 'weighted avg': {'precision': 0.8776815235451138, 'recall': 0.8711656441717791, 'f1-score': 0.8641519110382081, 'support': 163}}",0.853088,100,20,200,100,0.01,0.6,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.8527607321739197,"{'Basal': {'precision': 0.9615384615384616, 'recall': 0.9259259259259259, 'f1-score': 0.9433962264150944, 'support': 27}, 'Her2': {'precision': 0.7647058823529411, 'recall': 1.0, 'f1-score': 0.8666666666666666, 'support': 13}, 'LumA': {'precision': 0.9210526315789473, 'recall': 0.8433734939759037, 'f1-score': 0.8805031446540881, 'support': 83}, 'LumB': {'precision': 0.6904761904761905, 'recall': 0.8285714285714286, 'f1-score': 0.7532467532467533, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.4, 'f1-score': 0.5714285714285715, 'support': 5}, 'micro avg': {'precision': 0.852760736196319, 'recall': 0.852760736196319, 'f1-score': 0.852760736196319, 'support': 163}, 'macro avg': {'precision': 0.867554633189308, 'recall': 0.7995741696946517, 'f1-score': 0.8030482724822348, 'support': 163}, 'weighted avg': {'precision': 0.8682009203671534, 'recall': 0.852760736196319, 'f1-score': 0.853011687159158, 'support': 163}}",0.853088,100,20,200,100,0.01,0.6,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.8588957190513611,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9629629629629629, 'f1-score': 0.912280701754386, 'support': 27}, 'Her2': {'precision': 0.9, 'recall': 0.6923076923076923, 'f1-score': 0.7826086956521738, 'support': 13}, 'LumA': {'precision': 0.8850574712643678, 'recall': 0.927710843373494, 'f1-score': 0.9058823529411766, 'support': 83}, 'LumB': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8000000000000002, 'support': 35}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5}, 'micro avg': {'precision': 0.8588957055214724, 'recall': 0.8588957055214724, 'f1-score': 0.8588957055214724, 'support': 163}, 'macro avg': {'precision': 0.6903448275862069, 'recall': 0.6765962997288298, 'f1-score': 0.6801543500695474, 'support': 163}, 'weighted avg': {'precision': 0.8377900007051688, 'recall': 0.8588957055214724, 'f1-score': 0.8465872839568365, 'support': 163}}",0.853088,100,20,200,100,0.01,0.6,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
