,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.842424213886261,"{'Basal': {'precision': 1.0, 'recall': 0.9642857142857143, 'f1-score': 0.9818181818181818, 'support': 28}, 'Her2': {'precision': 0.9, 'recall': 0.6923076923076923, 'f1-score': 0.7826086956521738, 'support': 13}, 'LumA': {'precision': 0.81, 'recall': 0.9759036144578314, 'f1-score': 0.8852459016393442, 'support': 83}, 'LumB': {'precision': 0.8, 'recall': 0.5555555555555556, 'f1-score': 0.6557377049180328, 'support': 36}, 'Normal': {'precision': 0.6666666666666666, 'recall': 0.4, 'f1-score': 0.5, 'support': 5}, 'micro avg': {'precision': 0.8424242424242424, 'recall': 0.8424242424242424, 'f1-score': 0.8424242424242424, 'support': 165}, 'macro avg': {'precision': 0.8353333333333334, 'recall': 0.7176105153213587, 'f1-score': 0.7610820968055465, 'support': 165}, 'weighted avg': {'precision': 0.842808080808081, 'recall': 0.8424242424242424, 'f1-score': 0.8317987233181946, 'support': 165}}",0.84210443,100,20,200,100,0.01,0.6,0.6
1,2,0.8527607321739197,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 0.9, 'recall': 0.6923076923076923, 'f1-score': 0.7826086956521738, 'support': 13}, 'LumA': {'precision': 0.81, 'recall': 0.9759036144578314, 'f1-score': 0.8852459016393442, 'support': 83}, 'LumB': {'precision': 0.95, 'recall': 0.5428571428571428, 'f1-score': 0.6909090909090908, 'support': 35}, 'Normal': {'precision': 0.5, 'recall': 0.6, 'f1-score': 0.5454545454545454, 'support': 5}, 'micro avg': {'precision': 0.852760736196319, 'recall': 0.852760736196319, 'f1-score': 0.852760736196319, 'support': 163}, 'macro avg': {'precision': 0.8320000000000001, 'recall': 0.7622136899245333, 'f1-score': 0.7808436467310309, 'support': 163}, 'weighted avg': {'precision': 0.8692024539877301, 'recall': 0.852760736196319, 'f1-score': 0.843916649010029, 'support': 163}}",0.84210443,100,20,200,100,0.01,0.6,0.6
2,3,0.8343558311462402,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9629629629629629, 'f1-score': 0.9454545454545454, 'support': 27}, 'Her2': {'precision': 0.7, 'recall': 0.5384615384615384, 'f1-score': 0.608695652173913, 'support': 13}, 'LumA': {'precision': 0.7980769230769231, 'recall': 1.0, 'f1-score': 0.8877005347593583, 'support': 83}, 'LumB': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 35}, 'Normal': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5}, 'micro avg': {'precision': 0.8343558282208589, 'recall': 0.8343558282208589, 'f1-score': 0.8343558282208589, 'support': 163}, 'macro avg': {'precision': 0.8519963369963369, 'recall': 0.785999185999186, 'f1-score': 0.7901883282957451, 'support': 163}, 'weighted avg': {'precision': 0.8563096923526371, 'recall': 0.8343558282208589, 'f1-score': 0.8138951848835267, 'support': 163}}",0.84210443,100,20,200,100,0.01,0.6,0.6
3,4,0.8220859169960022,"{'Basal': {'precision': 0.9615384615384616, 'recall': 0.9259259259259259, 'f1-score': 0.9433962264150944, 'support': 27}, 'Her2': {'precision': 0.8, 'recall': 0.9230769230769231, 'f1-score': 0.8571428571428571, 'support': 13}, 'LumA': {'precision': 0.8241758241758241, 'recall': 0.9036144578313253, 'f1-score': 0.8620689655172414, 'support': 83}, 'LumB': {'precision': 0.75, 'recall': 0.5142857142857142, 'f1-score': 0.6101694915254237, 'support': 35}, 'Normal': {'precision': 0.5714285714285714, 'recall': 0.8, 'f1-score': 0.6666666666666666, 'support': 5}, 'micro avg': {'precision': 0.8220858895705522, 'recall': 0.8220858895705522, 'f1-score': 0.8220858895705522, 'support': 163}, 'macro avg': {'precision': 0.7814285714285714, 'recall': 0.8133806042239777, 'f1-score': 0.7878888414534566, 'support': 163}, 'weighted avg': {'precision': 0.8213207038360413, 'recall': 0.8220858895705522, 'f1-score': 0.8150646928264964, 'support': 163}}",0.84210443,100,20,200,100,0.01,0.6,0.6
4,5,0.8588957190513611,"{'Basal': {'precision': 1.0, 'recall': 0.9629629629629629, 'f1-score': 0.9811320754716981, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.6153846153846154, 'f1-score': 0.761904761904762, 'support': 13}, 'LumA': {'precision': 0.826530612244898, 'recall': 0.9759036144578314, 'f1-score': 0.8950276243093923, 'support': 83}, 'LumB': {'precision': 0.8076923076923077, 'recall': 0.6, 'f1-score': 0.6885245901639345, 'support': 35}, 'Normal': {'precision': 0.8, 'recall': 0.8, 'f1-score': 0.8000000000000002, 'support': 5}, 'micro avg': {'precision': 0.8588957055214724, 'recall': 0.8588957055214724, 'f1-score': 0.8588957055214724, 'support': 163}, 'macro avg': {'precision': 0.8868445839874411, 'recall': 0.790850238561082, 'f1-score': 0.8253178103699573, 'support': 163}, 'weighted avg': {'precision': 0.8642409299727443, 'recall': 0.8588957055214724, 'f1-score': 0.8514170639013191, 'support': 163}}",0.84210443,100,20,200,100,0.01,0.6,0.6
