,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8606060743331909,"{'Basal': {'precision': 1.0, 'recall': 0.9642857142857143, 'f1-score': 0.9818181818181818, 'support': 28}, 'Her2': {'precision': 0.8181818181818182, 'recall': 0.6923076923076923, 'f1-score': 0.7500000000000001, 'support': 13}, 'LumA': {'precision': 0.8681318681318682, 'recall': 0.9518072289156626, 'f1-score': 0.9080459770114944, 'support': 83}, 'LumB': {'precision': 0.7647058823529411, 'recall': 0.7222222222222222, 'f1-score': 0.7428571428571428, 'support': 36}, 'Normal': {'precision': 0.5, 'recall': 0.2, 'f1-score': 0.28571428571428575, 'support': 5}, 'micro avg': {'precision': 0.8606060606060606, 'recall': 0.8606060606060606, 'f1-score': 0.8606060606060605, 'support': 165}, 'macro avg': {'precision': 0.7902039137333255, 'recall': 0.7061245715462583, 'f1-score': 0.733687117480221, 'support': 165}, 'weighted avg': {'precision': 0.8528528512485731, 'recall': 0.8606060606060606, 'f1-score': 0.8532130530563131, 'support': 165}}",0.8383789,100,20,200,100,0.01,0.5,0.5
1,2,0.8404908180236816,"{'Basal': {'precision': 1.0, 'recall': 0.9629629629629629, 'f1-score': 0.9811320754716981, 'support': 27}, 'Her2': {'precision': 0.9090909090909091, 'recall': 0.7692307692307693, 'f1-score': 0.8333333333333333, 'support': 13}, 'LumA': {'precision': 0.7788461538461539, 'recall': 0.9759036144578314, 'f1-score': 0.8663101604278075, 'support': 83}, 'LumB': {'precision': 0.9473684210526315, 'recall': 0.5142857142857142, 'f1-score': 0.6666666666666666, 'support': 35}, 'Normal': {'precision': 0.6666666666666666, 'recall': 0.4, 'f1-score': 0.5, 'support': 5}, 'micro avg': {'precision': 0.8404907975460123, 'recall': 0.8404907975460123, 'f1-score': 0.8404907975460123, 'support': 163}, 'macro avg': {'precision': 0.8603944301312723, 'recall': 0.7244766121874555, 'f1-score': 0.7694884471799011, 'support': 163}, 'weighted avg': {'precision': 0.8586112923778407, 'recall': 0.8404907975460123, 'f1-score': 0.8285949449074267, 'support': 163}}",0.8383789,100,20,200,100,0.01,0.5,0.5
2,3,0.8711656332015991,"{'Basal': {'precision': 0.9629629629629629, 'recall': 0.9629629629629629, 'f1-score': 0.9629629629629629, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.5384615384615384, 'f1-score': 0.7000000000000001, 'support': 13}, 'LumA': {'precision': 0.8217821782178217, 'recall': 1.0, 'f1-score': 0.9021739130434783, 'support': 83}, 'LumB': {'precision': 0.9545454545454546, 'recall': 0.6, 'f1-score': 0.7368421052631579, 'support': 35}, 'Normal': {'precision': 0.8333333333333334, 'recall': 1.0, 'f1-score': 0.9090909090909091, 'support': 5}, 'micro avg': {'precision': 0.8711656441717791, 'recall': 0.8711656441717791, 'f1-score': 0.8711656441717791, 'support': 163}, 'macro avg': {'precision': 0.9145247858119145, 'recall': 0.8202849002849003, 'f1-score': 0.8422139780721016, 'support': 163}, 'weighted avg': {'precision': 0.8882434255695508, 'recall': 0.8711656441717791, 'f1-score': 0.8608304479280598, 'support': 163}}",0.8383789,100,20,200,100,0.01,0.5,0.5
3,4,0.8343558311462402,"{'Basal': {'precision': 0.96, 'recall': 0.8888888888888888, 'f1-score': 0.923076923076923, 'support': 27}, 'Her2': {'precision': 0.8125, 'recall': 1.0, 'f1-score': 0.896551724137931, 'support': 13}, 'LumA': {'precision': 0.9066666666666666, 'recall': 0.8192771084337349, 'f1-score': 0.8607594936708859, 'support': 83}, 'LumB': {'precision': 0.6923076923076923, 'recall': 0.7714285714285715, 'f1-score': 0.7297297297297296, 'support': 35}, 'Normal': {'precision': 0.5, 'recall': 0.8, 'f1-score': 0.6153846153846154, 'support': 5}, 'micro avg': {'precision': 0.8343558282208589, 'recall': 0.8343558282208589, 'f1-score': 0.8343558282208589, 'support': 163}, 'macro avg': {'precision': 0.7742948717948718, 'recall': 0.855918913750239, 'f1-score': 0.8051004972000169, 'support': 163}, 'weighted avg': {'precision': 0.8494883592889728, 'recall': 0.8343558282208589, 'f1-score': 0.8382745455767924, 'support': 163}}",0.8383789,100,20,200,100,0.01,0.5,0.5
4,5,0.7852760553359985,"{'Basal': {'precision': 0.9629629629629629, 'recall': 0.9629629629629629, 'f1-score': 0.9629629629629629, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.3076923076923077, 'f1-score': 0.47058823529411764, 'support': 13}, 'LumA': {'precision': 0.8260869565217391, 'recall': 0.9156626506024096, 'f1-score': 0.8685714285714285, 'support': 83}, 'LumB': {'precision': 0.8947368421052632, 'recall': 0.4857142857142857, 'f1-score': 0.6296296296296297, 'support': 35}, 'Normal': {'precision': 0.23809523809523808, 'recall': 1.0, 'f1-score': 0.3846153846153846, 'support': 5}, 'micro avg': {'precision': 0.7852760736196319, 'recall': 0.7852760736196319, 'f1-score': 0.785276073619632, 'support': 163}, 'macro avg': {'precision': 0.7843763999370407, 'recall': 0.7344064413943932, 'f1-score': 0.6632735282147046, 'support': 163}, 'weighted avg': {'precision': 0.859334251874017, 'recall': 0.7852760736196319, 'f1-score': 0.786314046566663, 'support': 163}}",0.8383789,100,20,200,100,0.01,0.5,0.5
