,loss,val_loss
0,9419.90839189528,11942.926479962081
1,8876.507287078028,8926.09093880753
2,8808.534917731595,8811.816304099111
3,8764.90867993465,8853.446640461558
4,8729.571227842776,8777.180925568777
5,8711.233305074582,8771.399702128007
6,8692.135519570322,8755.570876372907
7,8685.826326344062,8742.74451041122
8,8670.855317234022,8767.69291808316
9,8662.831169857816,8752.918884021967
10,8655.504254259711,8715.335649434493
11,8646.67773460216,8746.071274761376
12,8641.982146556613,8691.85971618397
13,8634.887187609036,8747.707893403503
14,8628.60411510126,8719.076874673117
15,8632.058951527608,8671.091886767783
16,8625.291725728368,8814.107172626831
17,8619.395600948259,8735.84055472019
18,8618.00115840439,8678.886044554132
19,8612.529173981231,8780.346148502877
20,8610.2059376999,8703.003240226202
21,8609.455212603949,8665.485098228295
22,8607.691011672408,8724.713456540925
23,8604.85507530821,8665.359082848458
24,8599.947475748357,8664.905238706198
25,8598.77796139909,8664.963233851988
26,8597.886560646371,8685.860192207114
27,8596.836344571411,8677.334552333943
28,8598.337342486988,8666.980767030596
29,8595.599154599908,8664.741872875262
30,8594.23895250894,8711.159929475027
31,8589.229754330585,8644.905199888859
32,8586.95817772847,8668.740160826359
33,8589.262663510046,8660.62242988363
34,8585.828400318387,8646.784559688807
35,8586.591236697488,8634.939878072699
36,8584.349160278916,8641.962510623693
37,8580.74176384588,8639.843182041057
38,8580.761496132822,8653.657238820606
39,8576.611385596578,8648.502108394352
40,8582.449817317618,8637.822690572699
41,8578.83764392882,8626.004004314853
42,8574.275299306524,8618.241762552301
43,8575.518664633128,8637.28772636637
44,8575.973389978048,8623.492105779289
45,8571.341298485113,8631.727919063807
46,8573.640320150762,8645.551061143437
47,8570.89076016043,8620.526134283473
48,8568.115082631863,8641.874209352118
49,8570.531993041623,8612.60168099503
50,8566.47459165649,8613.842994083421
51,8567.904339353992,8645.323381112708
52,8564.676082464672,8666.077898225027
53,8565.349941710645,8636.963646541579
54,8567.019844958493,8625.993678902982
55,8565.506672382022,8611.099262061976
56,8566.157804685683,8623.059872679132
57,8563.49353433393,8621.564824954236
58,8561.986872855607,8631.76699790795
59,8562.195921744156,8618.46770806093
60,8559.587564649846,8606.29151412134
61,8557.35079129049,8604.542815523666
62,8558.969428755234,8594.051802758891
63,8559.654213279979,8615.113154582898
64,8559.126719604123,8620.225853572829
65,8558.885210177876,8611.41095711297
66,8557.882086268246,8602.72928992874
67,8555.790848434955,8605.76189444953
68,8557.420189129194,8617.53196097019
69,8560.990259362643,8601.703950379184
70,8555.764286798165,8622.333011898536
71,8552.670216502022,8620.030682041057
72,8556.911370649424,8603.03269645659
73,8556.399011079975,8616.391403389774
74,8554.472840704233,8608.035944854864
75,8552.614760972756,8601.546613493723
76,8550.512346166986,8613.134888206067
77,8548.65519733877,8593.688251830545
78,8552.781275214802,8601.579007583681
79,8553.382891097493,8598.276583747385
80,8553.50580621947,8604.281319462605
81,8548.806962965587,8598.25770217704
82,8552.14018340021,8625.992567501307
83,8547.763199381397,8628.039401640952
84,8550.172655523087,8602.729332832114
85,8548.916812957956,8602.539699921548
86,8548.487701991015,8598.978049816946
87,8546.637532892824,8607.699130900235
88,8547.853113096795,8615.85833306093
89,8546.128460107002,8587.008270135982
90,8545.745656011935,8606.455656299033
91,8545.558630095662,8590.653810636768
92,8549.01980838567,8656.498643436193
93,8545.619401632284,8598.708095662265
94,8542.917948759887,8584.07664176909
95,8543.52997858332,8588.072682400627
96,8541.541379763099,8605.86924073287
97,8540.788518223715,8597.06575248431
98,8539.966214208609,8593.307367939331
99,8543.915338232728,8597.257971855386
