,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.7804877758026123,0.71928775,300,100,200,100,0.01,0.5,0.6
1,2,0.6809815764427185,0.71928775,300,100,200,100,0.01,0.5,0.6
2,3,0.6625766754150391,0.71928775,300,100,200,100,0.01,0.5,0.6
3,4,0.7423312664031982,0.71928775,300,100,200,100,0.01,0.5,0.6
4,5,0.7300613522529602,0.71928775,300,100,200,100,0.01,0.5,0.6
