,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.7804877758026123,0.7450546,300,100,200,100,0.01,0,0.5
1,2,0.7116564512252808,0.7450546,300,100,200,100,0.01,0,0.5
2,3,0.7423312664031982,0.7450546,300,100,200,100,0.01,0,0.5
3,4,0.7975460290908813,0.7450546,300,100,200,100,0.01,0,0.5
4,5,0.6932515501976013,0.7450546,300,100,200,100,0.01,0,0.5
