,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.8536585569381714,"{'Basal': {'precision': 0.9642857142857143, 'recall': 1.0, 'f1-score': 0.9818181818181818, 'support': 27}, 'Her2': {'precision': 0.7142857142857143, 'recall': 0.7692307692307693, 'f1-score': 0.7407407407407408, 'support': 13}, 'LumA': {'precision': 0.8850574712643678, 'recall': 0.927710843373494, 'f1-score': 0.9058823529411766, 'support': 83}, 'LumB': {'precision': 0.7352941176470589, 'recall': 0.6944444444444444, 'f1-score': 0.7142857142857144, 'support': 36}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8536585365853658, 'recall': 0.8536585365853658, 'f1-score': 0.8536585365853658, 'support': 164}, 'macro avg': {'precision': 0.859784603496571, 'recall': 0.7182772114097415, 'f1-score': 0.7352120646238294, 'support': 164}, 'weighted avg': {'precision': 0.8551938226930806, 'recall': 0.8536585365853658, 'f1-score': 0.8457799281328694, 'support': 164}}",0.8517133,50,50,100,0.001,0
1,2,0.8711656332015991,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 0.8, 'recall': 0.9230769230769231, 'f1-score': 0.8571428571428571, 'support': 13}, 'LumA': {'precision': 0.8888888888888888, 'recall': 0.8674698795180723, 'f1-score': 0.8780487804878048, 'support': 83}, 'LumB': {'precision': 0.7777777777777778, 'recall': 0.8, 'f1-score': 0.7887323943661971, 'support': 35}, 'Normal': {'precision': 0.75, 'recall': 0.6, 'f1-score': 0.6666666666666665, 'support': 5}, 'micro avg': {'precision': 0.8711656441717791, 'recall': 0.8711656441717791, 'f1-score': 0.8711656441717791, 'support': 163}, 'macro avg': {'precision': 0.8433333333333334, 'recall': 0.8381093605189991, 'f1-score': 0.8381181397327051, 'support': 163}, 'weighted avg': {'precision': 0.8720858895705522, 'recall': 0.8711656441717791, 'f1-score': 0.8709194666226698, 'support': 163}}",0.8517133,50,50,100,0.001,0
2,3,0.8773006200790405,"{'Basal': {'precision': 0.9642857142857143, 'recall': 1.0, 'f1-score': 0.9818181818181818, 'support': 27}, 'Her2': {'precision': 0.5789473684210527, 'recall': 0.8461538461538461, 'f1-score': 0.6875, 'support': 13}, 'LumA': {'precision': 0.9156626506024096, 'recall': 0.9156626506024096, 'f1-score': 0.9156626506024096, 'support': 83}, 'LumB': {'precision': 0.8666666666666667, 'recall': 0.7428571428571429, 'f1-score': 0.8, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.6, 'f1-score': 0.7499999999999999, 'support': 5}, 'micro avg': {'precision': 0.8773006134969326, 'recall': 0.8773006134969326, 'f1-score': 0.8773006134969326, 'support': 163}, 'macro avg': {'precision': 0.8651124799951686, 'recall': 0.8209347279226797, 'f1-score': 0.8269961664841183, 'support': 163}, 'weighted avg': {'precision': 0.888928609868229, 'recall': 0.8773006134969326, 'f1-score': 0.8785066926938092, 'support': 163}}",0.8517133,50,50,100,0.001,0
3,4,0.8220859169960022,"{'Basal': {'precision': 0.9583333333333334, 'recall': 0.8518518518518519, 'f1-score': 0.9019607843137256, 'support': 27}, 'Her2': {'precision': 0.5416666666666666, 'recall': 1.0, 'f1-score': 0.7027027027027027, 'support': 13}, 'LumA': {'precision': 0.8823529411764706, 'recall': 0.9036144578313253, 'f1-score': 0.8928571428571428, 'support': 83}, 'LumB': {'precision': 0.7586206896551724, 'recall': 0.6285714285714286, 'f1-score': 0.6875, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8220858895705522, 'recall': 0.8220858895705522, 'f1-score': 0.8220858895705522, 'support': 163}, 'macro avg': {'precision': 0.8281947261663285, 'recall': 0.7168075476509211, 'f1-score': 0.703670792641381, 'support': 163}, 'weighted avg': {'precision': 0.8448078829585567, 'recall': 0.8220858895705522, 'f1-score': 0.8179410173951854, 'support': 163}}",0.8517133,50,50,100,0.001,0
4,5,0.8343558311462402,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9629629629629629, 'f1-score': 0.9454545454545454, 'support': 27}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.7692307692307693, 'f1-score': 0.8, 'support': 13}, 'LumA': {'precision': 0.8705882352941177, 'recall': 0.891566265060241, 'f1-score': 0.880952380952381, 'support': 83}, 'LumB': {'precision': 0.6842105263157895, 'recall': 0.7428571428571429, 'f1-score': 0.7123287671232877, 'support': 35}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 5}, 'micro avg': {'precision': 0.8343558282208589, 'recall': 0.8343558282208589, 'f1-score': 0.8343558282208589, 'support': 163}, 'macro avg': {'precision': 0.6633407047029338, 'recall': 0.6733234280222232, 'f1-score': 0.6677471387060429, 'support': 163}, 'weighted avg': {'precision': 0.8104966494185664, 'recall': 0.8343558282208589, 'f1-score': 0.8219498600959229, 'support': 163}}",0.8517133,50,50,100,0.001,0
