,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.7439024448394775,0.8150381,100,20,200,100,0.01,0.5,0.6
1,2,0.8098159432411194,0.8150381,100,20,200,100,0.01,0.5,0.6
2,3,0.8527607321739197,0.8150381,100,20,200,100,0.01,0.5,0.6
3,4,0.8343558311462402,0.8150381,100,20,200,100,0.01,0.5,0.6
4,5,0.8343558311462402,0.8150381,100,20,200,100,0.01,0.5,0.6
