,Fold,accuracy,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8780487775802612,0.84554833,300,100,50,100,0.001,0,0.8
1,2,0.8588957190513611,0.84554833,300,100,50,100,0.001,0,0.8
2,3,0.8895705342292786,0.84554833,300,100,50,100,0.001,0,0.8
3,4,0.8098159432411194,0.84554833,300,100,50,100,0.001,0,0.8
4,5,0.7914110422134399,0.84554833,300,100,50,100,0.001,0,0.8
