,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.8928571343421936,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.7142857142857143, 'f1-score': 0.7692307692307692, 'support': 7}, 'LumA': {'precision': 0.9090909090909091, 'recall': 0.9523809523809523, 'f1-score': 0.9302325581395349, 'support': 42}, 'LumB': {'precision': 0.7894736842105263, 'recall': 0.8333333333333334, 'f1-score': 0.8108108108108109, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8928571428571429, 'recall': 0.8928571428571429, 'f1-score': 0.8928571428571429, 'support': 84}, 'macro avg': {'precision': 0.9063795853269537, 'recall': 0.7666666666666668, 'f1-score': 0.802054827636223, 'support': 84}, 'weighted avg': {'precision': 0.8955437837016785, 'recall': 0.8928571428571429, 'f1-score': 0.8874878264413149, 'support': 84}}",0.86654985,50,64,100,0.001,0.8
1,2,0.8690476417541504,"{'Basal': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 14}, 'Her2': {'precision': 0.8, 'recall': 0.5714285714285714, 'f1-score': 0.6666666666666666, 'support': 7}, 'LumA': {'precision': 0.9069767441860465, 'recall': 0.9285714285714286, 'f1-score': 0.9176470588235294, 'support': 42}, 'LumB': {'precision': 0.7727272727272727, 'recall': 0.9444444444444444, 'f1-score': 0.85, 'support': 18}, 'Normal': {'precision': 0.5, 'recall': 0.3333333333333333, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.7959408033826639, 'recall': 0.726984126984127, 'f1-score': 0.7514781297134239, 'support': 84}, 'weighted avg': {'precision': 0.870263263867915, 'recall': 0.8690476190476191, 'f1-score': 0.8646538102420455, 'support': 84}}",0.86654985,50,64,100,0.001,0.8
2,3,0.8690476417541504,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 7}, 'LumA': {'precision': 0.8333333333333334, 'recall': 0.9523809523809523, 'f1-score': 0.888888888888889, 'support': 42}, 'LumB': {'precision': 0.8, 'recall': 0.6666666666666666, 'f1-score': 0.7272727272727272, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.9266666666666667, 'recall': 0.7619047619047619, 'f1-score': 0.8078477078477079, 'support': 84}, 'weighted avg': {'precision': 0.8738095238095239, 'recall': 0.8690476190476191, 'f1-score': 0.8617354867354867, 'support': 84}}",0.86654985,50,64,100,0.001,0.8
3,4,0.8095238208770752,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.5714285714285714, 'recall': 0.5714285714285714, 'f1-score': 0.5714285714285714, 'support': 7}, 'LumA': {'precision': 0.8536585365853658, 'recall': 0.8333333333333334, 'f1-score': 0.8433734939759037, 'support': 42}, 'LumB': {'precision': 0.65, 'recall': 0.7222222222222222, 'f1-score': 0.6842105263157895, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8095238095238095, 'recall': 0.8095238095238095, 'f1-score': 0.8095238095238095, 'support': 84}, 'macro avg': {'precision': 0.8150174216027875, 'recall': 0.7587301587301587, 'f1-score': 0.7798025183440529, 'support': 84}, 'weighted avg': {'precision': 0.8161149825783971, 'recall': 0.8095238095238095, 'f1-score': 0.8111604311984782, 'support': 84}}",0.86654985,50,64,100,0.001,0.8
4,5,0.8571428656578064,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.8571428571428571, 'f1-score': 0.75, 'support': 7}, 'LumA': {'precision': 0.8333333333333334, 'recall': 0.9523809523809523, 'f1-score': 0.888888888888889, 'support': 42}, 'LumB': {'precision': 1.0, 'recall': 0.6111111111111112, 'f1-score': 0.7586206896551725, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 84}, 'macro avg': {'precision': 0.8866666666666667, 'recall': 0.7507936507936508, 'f1-score': 0.7726053639846744, 'support': 84}, 'weighted avg': {'precision': 0.8777777777777778, 'recall': 0.8571428571428571, 'f1-score': 0.8482827038861522, 'support': 84}}",0.86654985,50,64,100,0.001,0.8
5,6,0.9375,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.9302325581395349, 'recall': 0.975609756097561, 'f1-score': 0.9523809523809524, 'support': 41}, 'LumB': {'precision': 0.9375, 'recall': 0.8333333333333334, 'f1-score': 0.8823529411764706, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.9375, 'recall': 0.9375, 'f1-score': 0.9375, 'support': 80}, 'macro avg': {'precision': 0.9592607973421927, 'recall': 0.9284552845528455, 'f1-score': 0.9413575531222591, 'support': 80}, 'weighted avg': {'precision': 0.9385745431893687, 'recall': 0.9375, 'f1-score': 0.9362879495232438, 'support': 80}}",0.86654985,50,64,100,0.001,0.8
6,7,0.8101266026496887,"{'Basal': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8536585365853658, 'recall': 0.8536585365853658, 'f1-score': 0.8536585365853658, 'support': 41}, 'LumB': {'precision': 0.625, 'recall': 0.5882352941176471, 'f1-score': 0.6060606060606061, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.810126582278481, 'recall': 0.810126582278481, 'f1-score': 0.810126582278481, 'support': 79}, 'macro avg': {'precision': 0.8290650406504063, 'recall': 0.8576095353713719, 'f1-score': 0.8352771618625277, 'support': 79}, 'weighted avg': {'precision': 0.8180379746835443, 'recall': 0.810126582278481, 'f1-score': 0.8103759110088226, 'support': 79}}",0.86654985,50,64,100,0.001,0.8
7,8,0.8607594966888428,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.8333333333333334, 'f1-score': 0.9090909090909091, 'support': 6}, 'LumA': {'precision': 0.8809523809523809, 'recall': 0.9024390243902439, 'f1-score': 0.8915662650602411, 'support': 41}, 'LumB': {'precision': 0.7222222222222222, 'recall': 0.7647058823529411, 'f1-score': 0.7428571428571428, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8607594936708861, 'recall': 0.8607594936708861, 'f1-score': 0.8607594936708861, 'support': 79}, 'macro avg': {'precision': 0.7063492063492063, 'recall': 0.7000956480153037, 'f1-score': 0.7012954559942511, 'support': 79}, 'weighted avg': {'precision': 0.8413703033956198, 'recall': 0.8607594936708861, 'f1-score': 0.8500740793557631, 'support': 79}}",0.86654985,50,64,100,0.001,0.8
8,9,0.8734177350997925,"{'Basal': {'precision': 1.0, 'recall': 0.9230769230769231, 'f1-score': 0.9600000000000001, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 6}, 'LumA': {'precision': 0.8604651162790697, 'recall': 0.9024390243902439, 'f1-score': 0.8809523809523809, 'support': 41}, 'LumB': {'precision': 0.7647058823529411, 'recall': 0.7647058823529411, 'f1-score': 0.7647058823529412, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.8734177215189873, 'recall': 0.8734177215189873, 'f1-score': 0.8734177215189873, 'support': 79}, 'macro avg': {'precision': 0.9250341997264021, 'recall': 0.8180443659640216, 'f1-score': 0.8544649859943977, 'support': 79}, 'weighted avg': {'precision': 0.876950250220783, 'recall': 0.8734177215189873, 'f1-score': 0.8725617842073539, 'support': 79}}",0.86654985,50,64,100,0.001,0.8
9,10,0.8860759735107422,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8571428571428571, 'recall': 1.0, 'f1-score': 0.923076923076923, 'support': 6}, 'LumA': {'precision': 0.8695652173913043, 'recall': 0.975609756097561, 'f1-score': 0.9195402298850575, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.6470588235294118, 'f1-score': 0.7857142857142858, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8860759493670886, 'recall': 0.8860759493670886, 'f1-score': 0.8860759493670886, 'support': 79}, 'macro avg': {'precision': 0.7310559006211179, 'recall': 0.7245337159253945, 'f1-score': 0.7182588803278458, 'support': 79}, 'weighted avg': {'precision': 0.8843855649029012, 'recall': 0.8860759493670886, 'f1-score': 0.8748768650558262, 'support': 79}}",0.86654985,50,64,100,0.001,0.8
