,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.8095238208770752,"{'Basal': {'precision': 0.8125, 'recall': 0.9285714285714286, 'f1-score': 0.8666666666666666, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.8297872340425532, 'recall': 0.9285714285714286, 'f1-score': 0.8764044943820225, 'support': 42}, 'LumB': {'precision': 0.7647058823529411, 'recall': 0.7222222222222222, 'f1-score': 0.7428571428571428, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8095238095238095, 'recall': 0.8095238095238095, 'f1-score': 0.8095238095238095, 'support': 84}, 'macro avg': {'precision': 0.6813986232790988, 'recall': 0.6015873015873016, 'f1-score': 0.6171856607811664, 'support': 84}, 'weighted avg': {'precision': 0.7975091632397641, 'recall': 0.8095238095238095, 'f1-score': 0.7918303651048435, 'support': 84}}",0.7832693,50,64,100,0.001,0.8
1,2,0.8333333134651184,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.8636363636363636, 'recall': 0.9047619047619048, 'f1-score': 0.8837209302325582, 'support': 42}, 'LumB': {'precision': 0.6666666666666666, 'recall': 0.8888888888888888, 'f1-score': 0.761904761904762, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.706060606060606, 'recall': 0.6158730158730158, 'f1-score': 0.6180140273163529, 'support': 84}, 'weighted avg': {'precision': 0.8246753246753248, 'recall': 0.8333333333333334, 'f1-score': 0.808829474942432, 'support': 84}}",0.7832693,50,64,100,0.001,0.8
2,3,0.7857142686843872,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9285714285714286, 'f1-score': 0.9285714285714286, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.923076923076923, 'support': 7}, 'LumA': {'precision': 0.7755102040816326, 'recall': 0.9047619047619048, 'f1-score': 0.8351648351648353, 'support': 42}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5, 'f1-score': 0.5625000000000001, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7857142857142857, 'recall': 0.7857142857142857, 'f1-score': 0.7857142857142857, 'support': 84}, 'macro avg': {'precision': 0.6693877551020407, 'recall': 0.638095238095238, 'f1-score': 0.6498626373626374, 'support': 84}, 'weighted avg': {'precision': 0.7636054421768707, 'recall': 0.7857142857142857, 'f1-score': 0.7698031135531137, 'support': 84}}",0.7832693,50,64,100,0.001,0.8
3,4,0.75,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.7307692307692307, 'recall': 0.9047619047619048, 'f1-score': 0.8085106382978723, 'support': 42}, 'LumB': {'precision': 0.6153846153846154, 'recall': 0.4444444444444444, 'f1-score': 0.5161290322580646, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.8425641025641026, 'recall': 0.607936507936508, 'f1-score': 0.6642382789387736, 'support': 84}, 'weighted avg': {'precision': 0.7607448107448107, 'recall': 0.75, 'f1-score': 0.7321368277034148, 'support': 84}}",0.7832693,50,64,100,0.001,0.8
4,5,0.7023809552192688,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 14}, 'Her2': {'precision': 0.6, 'recall': 0.42857142857142855, 'f1-score': 0.5, 'support': 7}, 'LumA': {'precision': 0.6851851851851852, 'recall': 0.8809523809523809, 'f1-score': 0.7708333333333335, 'support': 42}, 'LumB': {'precision': 0.7, 'recall': 0.3888888888888889, 'f1-score': 0.5, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7023809523809523, 'recall': 0.7023809523809523, 'f1-score': 0.7023809523809523, 'support': 84}, 'macro avg': {'precision': 0.5684656084656086, 'recall': 0.5111111111111111, 'f1-score': 0.5255952380952381, 'support': 84}, 'weighted avg': {'precision': 0.6854497354497354, 'recall': 0.7023809523809523, 'f1-score': 0.6770833333333334, 'support': 84}}",0.7832693,50,64,100,0.001,0.8
5,6,0.8125,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 0.45454545454545453, 'recall': 0.8333333333333334, 'f1-score': 0.5882352941176471, 'support': 6}, 'LumA': {'precision': 0.9459459459459459, 'recall': 0.8536585365853658, 'f1-score': 0.8974358974358975, 'support': 41}, 'LumB': {'precision': 0.7058823529411765, 'recall': 0.6666666666666666, 'f1-score': 0.6857142857142857, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8125, 'recall': 0.8125, 'f1-score': 0.8125, 'support': 80}, 'macro avg': {'precision': 0.5946080840198488, 'recall': 0.6707317073170731, 'f1-score': 0.6199913811678517, 'support': 80}, 'weighted avg': {'precision': 0.8185450691333044, 'recall': 0.8125, 'f1-score': 0.8092321159232924, 'support': 80}}",0.7832693,50,64,100,0.001,0.8
6,7,0.7848101258277893,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.625, 'recall': 0.8333333333333334, 'f1-score': 0.7142857142857143, 'support': 6}, 'LumA': {'precision': 0.8292682926829268, 'recall': 0.8292682926829268, 'f1-score': 0.8292682926829268, 'support': 41}, 'LumB': {'precision': 0.625, 'recall': 0.5882352941176471, 'f1-score': 0.6060606060606061, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.80046904315197, 'recall': 0.7347827686421661, 'f1-score': 0.7478716405545673, 'support': 79}, 'weighted avg': {'precision': 0.7895569620253164, 'recall': 0.7848101265822784, 'f1-score': 0.7838237711655434, 'support': 79}}",0.7832693,50,64,100,0.001,0.8
7,8,0.8101266026496887,"{'Basal': {'precision': 0.8666666666666667, 'recall': 1.0, 'f1-score': 0.9285714285714286, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.78, 'recall': 0.9512195121951219, 'f1-score': 0.8571428571428571, 'support': 41}, 'LumB': {'precision': 0.8888888888888888, 'recall': 0.47058823529411764, 'f1-score': 0.6153846153846153, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.810126582278481, 'recall': 0.810126582278481, 'f1-score': 0.810126582278481, 'support': 79}, 'macro avg': {'precision': 0.707111111111111, 'recall': 0.6176948828311812, 'f1-score': 0.6402197802197802, 'support': 79}, 'weighted avg': {'precision': 0.8146554149085795, 'recall': 0.810126582278481, 'f1-score': 0.7908332174154958, 'support': 79}}",0.7832693,50,64,100,0.001,0.8
8,9,0.7594936490058899,"{'Basal': {'precision': 0.8, 'recall': 0.9230769230769231, 'f1-score': 0.8571428571428571, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8421052631578947, 'recall': 0.7804878048780488, 'f1-score': 0.810126582278481, 'support': 41}, 'LumB': {'precision': 0.5714285714285714, 'recall': 0.7058823529411765, 'f1-score': 0.6315789473684211, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.759493670886076, 'recall': 0.759493670886076, 'f1-score': 0.759493670886076, 'support': 79}, 'macro avg': {'precision': 0.6427067669172931, 'recall': 0.6152227495125631, 'f1-score': 0.6197696773579519, 'support': 79}, 'weighted avg': {'precision': 0.7676025506804988, 'recall': 0.759493670886076, 'f1-score': 0.7581631534371901, 'support': 79}}",0.7832693,50,64,100,0.001,0.8
9,10,0.7848101258277893,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8571428571428571, 'recall': 1.0, 'f1-score': 0.923076923076923, 'support': 6}, 'LumA': {'precision': 0.8421052631578947, 'recall': 0.7804878048780488, 'f1-score': 0.810126582278481, 'support': 41}, 'LumB': {'precision': 0.625, 'recall': 0.5882352941176471, 'f1-score': 0.6060606060606061, 'support': 17}, 'Normal': {'precision': 0.25, 'recall': 0.5, 'f1-score': 0.3333333333333333, 'support': 2}, 'micro avg': {'precision': 0.7848101265822784, 'recall': 0.7848101265822784, 'f1-score': 0.7848101265822784, 'support': 79}, 'macro avg': {'precision': 0.700563909774436, 'recall': 0.7737446197991391, 'f1-score': 0.7271120815424613, 'support': 79}, 'weighted avg': {'precision': 0.795767107642524, 'recall': 0.7848101265822784, 'f1-score': 0.7878717329125917, 'support': 79}}",0.7832693,50,64,100,0.001,0.8
