,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.8214285969734192,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 7}, 'LumA': {'precision': 0.8478260869565217, 'recall': 0.9285714285714286, 'f1-score': 0.8863636363636365, 'support': 42}, 'LumB': {'precision': 0.65, 'recall': 0.7222222222222222, 'f1-score': 0.6842105263157895, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.686231884057971, 'recall': 0.6158730158730159, 'f1-score': 0.6272182808117472, 'support': 84}, 'weighted avg': {'precision': 0.8020876466528641, 'recall': 0.8214285714285714, 'f1-score': 0.8007178997650868, 'support': 84}}",0.84803045,50,64,100,0.001,0.4
1,2,0.8809523582458496,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.7142857142857143, 'f1-score': 0.7692307692307692, 'support': 7}, 'LumA': {'precision': 0.925, 'recall': 0.8809523809523809, 'f1-score': 0.9024390243902439, 'support': 42}, 'LumB': {'precision': 0.7391304347826086, 'recall': 0.9444444444444444, 'f1-score': 0.8292682926829269, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8809523809523809, 'recall': 0.8809523809523809, 'f1-score': 0.8809523809523809, 'support': 84}, 'macro avg': {'precision': 0.8994927536231885, 'recall': 0.7746031746031746, 'f1-score': 0.8001876172607879, 'support': 84}, 'weighted avg': {'precision': 0.8927104899930987, 'recall': 0.8809523809523809, 'f1-score': 0.8775462342535514, 'support': 84}}",0.84803045,50,64,100,0.001,0.4
2,3,0.8690476417541504,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 7}, 'LumA': {'precision': 0.8333333333333334, 'recall': 0.9523809523809523, 'f1-score': 0.888888888888889, 'support': 42}, 'LumB': {'precision': 0.8461538461538461, 'recall': 0.6111111111111112, 'f1-score': 0.7096774193548387, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 3}, 'micro avg': {'precision': 0.8690476190476191, 'recall': 0.8690476190476191, 'f1-score': 0.8690476190476191, 'support': 84}, 'macro avg': {'precision': 0.9225641025641025, 'recall': 0.7793650793650795, 'f1-score': 0.8128167099246075, 'support': 84}, 'weighted avg': {'precision': 0.8725885225885225, 'recall': 0.8690476190476191, 'f1-score': 0.8586281935836998, 'support': 84}}",0.84803045,50,64,100,0.001,0.4
3,4,0.8333333134651184,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 14}, 'Her2': {'precision': 0.75, 'recall': 0.42857142857142855, 'f1-score': 0.5454545454545454, 'support': 7}, 'LumA': {'precision': 0.8085106382978723, 'recall': 0.9047619047619048, 'f1-score': 0.853932584269663, 'support': 42}, 'LumB': {'precision': 0.7647058823529411, 'recall': 0.7222222222222222, 'f1-score': 0.7428571428571428, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 3}, 'micro avg': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 84}, 'macro avg': {'precision': 0.8646433041301627, 'recall': 0.7444444444444445, 'f1-score': 0.7884488545162702, 'support': 84}, 'weighted avg': {'precision': 0.833001817748376, 'recall': 0.8333333333333334, 'f1-score': 0.8268426062968599, 'support': 84}}",0.84803045,50,64,100,0.001,0.4
4,5,0.8214285969734192,"{'Basal': {'precision': 0.9333333333333333, 'recall': 1.0, 'f1-score': 0.9655172413793104, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.5714285714285714, 'f1-score': 0.7272727272727273, 'support': 7}, 'LumA': {'precision': 0.7636363636363637, 'recall': 1.0, 'f1-score': 0.865979381443299, 'support': 42}, 'LumB': {'precision': 0.9, 'recall': 0.5, 'f1-score': 0.6428571428571429, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.8214285714285714, 'recall': 0.8214285714285714, 'f1-score': 0.8214285714285714, 'support': 84}, 'macro avg': {'precision': 0.7193939393939395, 'recall': 0.6142857142857142, 'f1-score': 0.6403252985904959, 'support': 84}, 'weighted avg': {'precision': 0.8135642135642136, 'recall': 0.8214285714285714, 'f1-score': 0.7922703935984116, 'support': 84}}",0.84803045,50,64,100,0.001,0.4
5,6,0.925000011920929,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8913043478260869, 'recall': 1.0, 'f1-score': 0.9425287356321839, 'support': 41}, 'LumB': {'precision': 0.9333333333333333, 'recall': 0.7777777777777778, 'f1-score': 0.8484848484848485, 'support': 18}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.925, 'recall': 0.925, 'f1-score': 0.925, 'support': 80}, 'macro avg': {'precision': 0.9649275362318841, 'recall': 0.888888888888889, 'f1-score': 0.9182027168234065, 'support': 80}, 'weighted avg': {'precision': 0.9292934782608695, 'recall': 0.925, 'f1-score': 0.921455067920585, 'support': 80}}",0.84803045,50,64,100,0.001,0.4
6,7,0.8354430198669434,"{'Basal': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'Her2': {'precision': 0.6666666666666666, 'recall': 1.0, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8444444444444444, 'recall': 0.926829268292683, 'f1-score': 0.8837209302325582, 'support': 41}, 'LumB': {'precision': 0.75, 'recall': 0.5294117647058824, 'f1-score': 0.6206896551724139, 'support': 17}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 2}, 'micro avg': {'precision': 0.8354430379746836, 'recall': 0.8354430379746836, 'f1-score': 0.8354430379746836, 'support': 79}, 'macro avg': {'precision': 0.8522222222222222, 'recall': 0.8604789758304822, 'f1-score': 0.8442154504143277, 'support': 79}, 'weighted avg': {'precision': 0.840154711673699, 'recall': 0.8354430379746836, 'f1-score': 0.8291259360016785, 'support': 79}}",0.84803045,50,64,100,0.001,0.4
7,8,0.8227847814559937,"{'Basal': {'precision': 0.9230769230769231, 'recall': 0.9230769230769231, 'f1-score': 0.9230769230769231, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.8, 'recall': 0.975609756097561, 'f1-score': 0.8791208791208791, 'support': 41}, 'LumB': {'precision': 0.8, 'recall': 0.47058823529411764, 'f1-score': 0.5925925925925927, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8227848101265823, 'recall': 0.8227848101265823, 'f1-score': 0.8227848101265823, 'support': 79}, 'macro avg': {'precision': 0.6712820512820512, 'recall': 0.640521649560387, 'f1-score': 0.6456247456247456, 'support': 79}, 'weighted avg': {'precision': 0.8025316455696203, 'recall': 0.8227848101265823, 'f1-score': 0.7989624065573433, 'support': 79}}",0.84803045,50,64,100,0.001,0.4
8,9,0.8101266026496887,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.9230769230769231, 'f1-score': 0.888888888888889, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.6666666666666666, 'f1-score': 0.8, 'support': 6}, 'LumA': {'precision': 0.8536585365853658, 'recall': 0.8536585365853658, 'f1-score': 0.8536585365853658, 'support': 41}, 'LumB': {'precision': 0.65, 'recall': 0.7647058823529411, 'f1-score': 0.7027027027027027, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.810126582278481, 'recall': 0.810126582278481, 'f1-score': 0.810126582278481, 'support': 79}, 'macro avg': {'precision': 0.6721602787456445, 'recall': 0.6416216017363794, 'f1-score': 0.6490500256353915, 'support': 79}, 'weighted avg': {'precision': 0.7999095840867992, 'recall': 0.810126582278481, 'f1-score': 0.8012848291329304, 'support': 79}}",0.84803045,50,64,100,0.001,0.4
9,10,0.8607594966888428,"{'Basal': {'precision': 0.9285714285714286, 'recall': 1.0, 'f1-score': 0.962962962962963, 'support': 13}, 'Her2': {'precision': 0.8333333333333334, 'recall': 0.8333333333333334, 'f1-score': 0.8333333333333334, 'support': 6}, 'LumA': {'precision': 0.8837209302325582, 'recall': 0.926829268292683, 'f1-score': 0.9047619047619047, 'support': 41}, 'LumB': {'precision': 0.75, 'recall': 0.7058823529411765, 'f1-score': 0.7272727272727272, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.8607594936708861, 'recall': 0.8607594936708861, 'f1-score': 0.8607594936708861, 'support': 79}, 'macro avg': {'precision': 0.6791251384274639, 'recall': 0.6932089909134386, 'f1-score': 0.6856661856661856, 'support': 79}, 'weighted avg': {'precision': 0.8361264140628286, 'recall': 0.8607594936708861, 'f1-score': 0.8478151009796578, 'support': 79}}",0.84803045,50,64,100,0.001,0.4
