,Fold,accuracy,other_metrics,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.5952380895614624,"{'Basal': {'precision': 1.0, 'recall': 0.5714285714285714, 'f1-score': 0.7272727272727273, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5675675675675675, 'recall': 1.0, 'f1-score': 0.7241379310344828, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5952380952380952, 'recall': 0.5952380952380952, 'f1-score': 0.5952380952380952, 'support': 84}, 'macro avg': {'precision': 0.31351351351351353, 'recall': 0.3142857142857143, 'f1-score': 0.290282131661442, 'support': 84}, 'weighted avg': {'precision': 0.45045045045045046, 'recall': 0.5952380952380952, 'f1-score': 0.4832810867293626, 'support': 84}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.5384615384615384, 'recall': 1.0, 'f1-score': 0.7000000000000001, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.10769230769230768, 'recall': 0.2, 'f1-score': 0.14, 'support': 84}, 'weighted avg': {'precision': 0.2692307692307692, 'recall': 0.5, 'f1-score': 0.35000000000000003, 'support': 84}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.5,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.56, 'recall': 1.0, 'f1-score': 0.717948717948718, 'support': 42}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.5, 'recall': 0.5, 'f1-score': 0.5, 'support': 84}, 'macro avg': {'precision': 0.11200000000000002, 'recall': 0.2, 'f1-score': 0.14358974358974358, 'support': 84}, 'weighted avg': {'precision': 0.28, 'recall': 0.5, 'f1-score': 0.358974358974359, 'support': 84}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.75,"{'Basal': {'precision': 0.875, 'recall': 1.0, 'f1-score': 0.9333333333333333, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.2857142857142857, 'f1-score': 0.4, 'support': 7}, 'LumA': {'precision': 0.7777777777777778, 'recall': 0.8333333333333334, 'f1-score': 0.8045977011494253, 'support': 42}, 'LumB': {'precision': 0.631578947368421, 'recall': 0.6666666666666666, 'f1-score': 0.6486486486486486, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 84}, 'macro avg': {'precision': 0.590204678362573, 'recall': 0.5571428571428572, 'f1-score': 0.5573159366262815, 'support': 84}, 'weighted avg': {'precision': 0.7256161236424393, 'recall': 0.75, 'f1-score': 0.7301838784597405, 'support': 84}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.7976190447807312,"{'Basal': {'precision': 1.0, 'recall': 0.7857142857142857, 'f1-score': 0.88, 'support': 14}, 'Her2': {'precision': 1.0, 'recall': 0.2857142857142857, 'f1-score': 0.4444444444444445, 'support': 7}, 'LumA': {'precision': 0.9210526315789473, 'recall': 0.8333333333333334, 'f1-score': 0.875, 'support': 42}, 'LumB': {'precision': 0.6538461538461539, 'recall': 0.9444444444444444, 'f1-score': 0.7727272727272727, 'support': 18}, 'Normal': {'precision': 0.2857142857142857, 'recall': 0.6666666666666666, 'f1-score': 0.4, 'support': 3}, 'micro avg': {'precision': 0.7976190476190477, 'recall': 0.7976190476190477, 'f1-score': 0.7976190476190477, 'support': 84}, 'macro avg': {'precision': 0.7721226142278773, 'recall': 0.7031746031746031, 'f1-score': 0.6744343434343434, 'support': 84}, 'weighted avg': {'precision': 0.8608402875320168, 'recall': 0.7976190476190477, 'f1-score': 0.8010738335738335, 'support': 84}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
5,6,0.5802469253540039,"{'Basal': {'precision': 1.0, 'recall': 0.42857142857142855, 'f1-score': 0.6, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5466666666666666, 'recall': 1.0, 'f1-score': 0.7068965517241379, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5802469135802469, 'recall': 0.5802469135802469, 'f1-score': 0.5802469135802469, 'support': 81}, 'macro avg': {'precision': 0.30933333333333335, 'recall': 0.2857142857142857, 'f1-score': 0.2613793103448276, 'support': 81}, 'weighted avg': {'precision': 0.4495473251028806, 'recall': 0.5802469135802469, 'f1-score': 0.4615155385270328, 'support': 81}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
6,7,0.6202531456947327,"{'Basal': {'precision': 1.0, 'recall': 0.6153846153846154, 'f1-score': 0.761904761904762, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5942028985507246, 'recall': 1.0, 'f1-score': 0.7454545454545455, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.620253164556962, 'recall': 0.620253164556962, 'f1-score': 0.620253164556962, 'support': 79}, 'macro avg': {'precision': 0.3188405797101449, 'recall': 0.3230769230769231, 'f1-score': 0.3014718614718615, 'support': 79}, 'weighted avg': {'precision': 0.4729407448174647, 'recall': 0.620253164556962, 'f1-score': 0.5122582059290921, 'support': 79}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
7,8,0.5189873576164246,"{'Basal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6212121212121212, 'recall': 1.0, 'f1-score': 0.766355140186916, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5189873417721519, 'recall': 0.5189873417721519, 'f1-score': 0.5189873417721519, 'support': 79}, 'macro avg': {'precision': 0.12424242424242424, 'recall': 0.2, 'f1-score': 0.15327102803738318, 'support': 79}, 'weighted avg': {'precision': 0.3224012274645186, 'recall': 0.5189873417721519, 'f1-score': 0.39772861705903234, 'support': 79}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
8,9,0.5443037748336792,"{'Basal': {'precision': 1.0, 'recall': 0.15384615384615385, 'f1-score': 0.2666666666666667, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.5394736842105263, 'recall': 1.0, 'f1-score': 0.7008547008547009, 'support': 41}, 'LumB': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.5443037974683544, 'recall': 0.5443037974683544, 'f1-score': 0.5443037974683544, 'support': 79}, 'macro avg': {'precision': 0.3078947368421053, 'recall': 0.23076923076923075, 'f1-score': 0.19350427350427352, 'support': 79}, 'weighted avg': {'precision': 0.44453697534976677, 'recall': 0.5443037974683544, 'f1-score': 0.4076165747051823, 'support': 79}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
9,10,0.3670886158943176,"{'Basal': {'precision': 1.0, 'recall': 0.6923076923076923, 'f1-score': 0.8181818181818181, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.8, 'recall': 0.0975609756097561, 'f1-score': 0.1739130434782609, 'support': 41}, 'LumB': {'precision': 0.24615384615384617, 'recall': 0.9411764705882353, 'f1-score': 0.3902439024390244, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.3670886075949367, 'recall': 0.3670886075949367, 'f1-score': 0.3670886075949367, 'support': 79}, 'macro avg': {'precision': 0.4092307692307692, 'recall': 0.34620902770113676, 'f1-score': 0.27646775281982067, 'support': 79}, 'weighted avg': {'precision': 0.6327166504381695, 'recall': 0.3670886075949367, 'f1-score': 0.3088727184865285, 'support': 79}}",0.57737374,100,20,256,100,0.01,0.6,0.6,True,False,False,categorical_crossentropy,binary_crossentropy
