,0,1,2,3,4
0,132.0,2.0,1.0,0.0,1.0
1,3.0,31.0,10.0,18.0,3.0
2,1.0,2.0,386.0,25.0,1.0
3,0.0,6.0,71.0,99.0,0.0
4,4.0,1.0,10.0,0.0,10.0
