,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8414633870124817,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 0.8571428571428571, 'recall': 0.46153846153846156, 'f1-score': 0.6, 'support': 13}, 'LumA': {'precision': 0.8539325842696629, 'recall': 0.9156626506024096, 'f1-score': 0.883720930232558, 'support': 83}, 'LumB': {'precision': 0.7, 'recall': 0.7777777777777778, 'f1-score': 0.7368421052631577, 'support': 36}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8414634146341463, 'recall': 0.8414634146341463, 'f1-score': 0.8414634146341463, 'support': 164}, 'macro avg': {'precision': 0.8822150882825041, 'recall': 0.6709957779837298, 'f1-score': 0.7107792737658098, 'support': 164}, 'weighted avg': {'precision': 0.8488979368124339, 'recall': 0.8414634146341463, 'f1-score': 0.8313525589356259, 'support': 164}}",0.8431393,300,100,50,100,0.001,0.5,0
1,2,0.8282208442687988,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 0.9, 'recall': 0.6923076923076923, 'f1-score': 0.7826086956521738, 'support': 13}, 'LumA': {'precision': 0.88, 'recall': 0.7951807228915663, 'f1-score': 0.8354430379746836, 'support': 83}, 'LumB': {'precision': 0.64, 'recall': 0.9142857142857143, 'f1-score': 0.7529411764705883, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8282208588957055, 'recall': 0.8282208588957055, 'f1-score': 0.8282208588957055, 'support': 163}, 'macro avg': {'precision': 0.884, 'recall': 0.7203548258969945, 'f1-score': 0.7408652486861558, 'support': 163}, 'weighted avg': {'precision': 0.8536196319018405, 'recall': 0.8282208588957055, 'f1-score': 0.8253698959418051, 'support': 163}}",0.8431393,300,100,50,100,0.001,0.5,0
2,3,0.8895705342292786,"{'Basal': {'precision': 0.9642857142857143, 'recall': 1.0, 'f1-score': 0.9818181818181818, 'support': 27}, 'Her2': {'precision': 0.8571428571428571, 'recall': 0.46153846153846156, 'f1-score': 0.6, 'support': 13}, 'LumA': {'precision': 0.8645833333333334, 'recall': 1.0, 'f1-score': 0.9273743016759777, 'support': 83}, 'LumB': {'precision': 0.8928571428571429, 'recall': 0.7142857142857143, 'f1-score': 0.7936507936507937, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.8, 'f1-score': 0.888888888888889, 'support': 5}, 'micro avg': {'precision': 0.8895705521472392, 'recall': 0.8895705521472392, 'f1-score': 0.8895705521472392, 'support': 163}, 'macro avg': {'precision': 0.9157738095238095, 'recall': 0.7951648351648352, 'f1-score': 0.8383464332067685, 'support': 163}, 'weighted avg': {'precision': 0.8907299883143441, 'recall': 0.8895705521472392, 'f1-score': 0.8803888354013454, 'support': 163}}",0.8431393,300,100,50,100,0.001,0.5,0
3,4,0.8098159432411194,"{'Basal': {'precision': 0.9259259259259259, 'recall': 0.9259259259259259, 'f1-score': 0.9259259259259259, 'support': 27}, 'Her2': {'precision': 0.7222222222222222, 'recall': 1.0, 'f1-score': 0.8387096774193548, 'support': 13}, 'LumA': {'precision': 0.8933333333333333, 'recall': 0.8072289156626506, 'f1-score': 0.8481012658227848, 'support': 83}, 'LumB': {'precision': 0.65, 'recall': 0.7428571428571429, 'f1-score': 0.6933333333333334, 'support': 35}, 'Normal': {'precision': 0.3333333333333333, 'recall': 0.2, 'f1-score': 0.25, 'support': 5}, 'micro avg': {'precision': 0.8098159509202454, 'recall': 0.8098159509202454, 'f1-score': 0.8098159509202454, 'support': 163}, 'macro avg': {'precision': 0.704962962962963, 'recall': 0.7352023968891439, 'f1-score': 0.7112140405002798, 'support': 163}, 'weighted avg': {'precision': 0.8156578050443081, 'recall': 0.8098159509202454, 'f1-score': 0.8086644020638614, 'support': 163}}",0.8431393,300,100,50,100,0.001,0.5,0
4,5,0.8466257452964783,"{'Basal': {'precision': 0.9285714285714286, 'recall': 0.9629629629629629, 'f1-score': 0.9454545454545454, 'support': 27}, 'Her2': {'precision': 0.8, 'recall': 0.9230769230769231, 'f1-score': 0.8571428571428571, 'support': 13}, 'LumA': {'precision': 0.8974358974358975, 'recall': 0.8433734939759037, 'f1-score': 0.8695652173913043, 'support': 83}, 'LumB': {'precision': 0.7073170731707317, 'recall': 0.8285714285714286, 'f1-score': 0.7631578947368421, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.2, 'f1-score': 0.33333333333333337, 'support': 5}, 'micro avg': {'precision': 0.8466257668711656, 'recall': 0.8466257668711656, 'f1-score': 0.8466257668711656, 'support': 163}, 'macro avg': {'precision': 0.8666648798356116, 'recall': 0.7515969617174437, 'f1-score': 0.7537307696117764, 'support': 163}, 'weighted avg': {'precision': 0.8571454332489795, 'recall': 0.8466257668711656, 'f1-score': 0.8418480729819893, 'support': 163}}",0.8431393,300,100,50,100,0.001,0.5,0
