,0,1,2,3,4
0,120.0,2.0,11.0,2.0,0.0
1,7.0,20.0,23.0,15.0,0.0
2,3.0,0.0,386.0,26.0,0.0
3,6.0,2.0,91.0,77.0,0.0
4,5.0,2.0,17.0,1.0,0.0
