,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,hidden_2,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden
0,1,0.8121212124824524,"{'Basal': {'precision': 0.9615384615384616, 'recall': 0.8928571428571429, 'f1-score': 0.9259259259259259, 'support': 28}, 'Her2': {'precision': 0.8571428571428571, 'recall': 0.46153846153846156, 'f1-score': 0.6, 'support': 13}, 'LumA': {'precision': 0.8387096774193549, 'recall': 0.9397590361445783, 'f1-score': 0.8863636363636364, 'support': 83}, 'LumB': {'precision': 0.7058823529411765, 'recall': 0.6666666666666666, 'f1-score': 0.6857142857142857, 'support': 36}, 'Normal': {'precision': 0.2, 'recall': 0.2, 'f1-score': 0.20000000000000004, 'support': 5}, 'micro avg': {'precision': 0.8121212121212121, 'recall': 0.8121212121212121, 'f1-score': 0.8121212121212121, 'support': 165}, 'macro avg': {'precision': 0.71265466980837, 'recall': 0.63216426144137, 'f1-score': 0.6596007696007696, 'support': 165}, 'weighted avg': {'precision': 0.8126703151371082, 'recall': 0.8121212121212121, 'f1-score': 0.8059383153322547, 'support': 165}}",0.8372709,100,20,200,100,0.01,0.8,0.4
1,2,0.8220859169960022,"{'Basal': {'precision': 1.0, 'recall': 0.9629629629629629, 'f1-score': 0.9811320754716981, 'support': 27}, 'Her2': {'precision': 0.8, 'recall': 0.6153846153846154, 'f1-score': 0.6956521739130435, 'support': 13}, 'LumA': {'precision': 0.7821782178217822, 'recall': 0.9518072289156626, 'f1-score': 0.858695652173913, 'support': 83}, 'LumB': {'precision': 0.782608695652174, 'recall': 0.5142857142857142, 'f1-score': 0.6206896551724138, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 0.6, 'f1-score': 0.7499999999999999, 'support': 5}, 'micro avg': {'precision': 0.8220858895705522, 'recall': 0.8220858895705522, 'f1-score': 0.8220858895705522, 'support': 163}, 'macro avg': {'precision': 0.8729573826947913, 'recall': 0.728888104309791, 'f1-score': 0.7812339113462137, 'support': 163}, 'weighted avg': {'precision': 0.8264545793069572, 'recall': 0.8220858895705522, 'f1-score': 0.8115332598777587, 'support': 163}}",0.8372709,100,20,200,100,0.01,0.8,0.4
2,3,0.89570552110672,"{'Basal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.8461538461538461, 'f1-score': 0.9166666666666666, 'support': 13}, 'LumA': {'precision': 0.8367346938775511, 'recall': 0.9879518072289156, 'f1-score': 0.9060773480662982, 'support': 83}, 'LumB': {'precision': 0.9545454545454546, 'recall': 0.6, 'f1-score': 0.7368421052631579, 'support': 35}, 'Normal': {'precision': 1.0, 'recall': 1.0, 'f1-score': 1.0, 'support': 5}, 'micro avg': {'precision': 0.8957055214723927, 'recall': 0.8957055214723927, 'f1-score': 0.8957055214723927, 'support': 163}, 'macro avg': {'precision': 0.9582560296846012, 'recall': 0.8868211306765523, 'f1-score': 0.9119172239992246, 'support': 163}, 'weighted avg': {'precision': 0.9071047269995561, 'recall': 0.8957055214723927, 'f1-score': 0.889021841965521, 'support': 163}}",0.8372709,100,20,200,100,0.01,0.8,0.4
3,4,0.8466257452964783,"{'Basal': {'precision': 1.0, 'recall': 0.8518518518518519, 'f1-score': 0.92, 'support': 27}, 'Her2': {'precision': 0.9090909090909091, 'recall': 0.7692307692307693, 'f1-score': 0.8333333333333333, 'support': 13}, 'LumA': {'precision': 0.7980769230769231, 'recall': 1.0, 'f1-score': 0.8877005347593583, 'support': 83}, 'LumB': {'precision': 1.0, 'recall': 0.5714285714285714, 'f1-score': 0.7272727272727273, 'support': 35}, 'Normal': {'precision': 0.4, 'recall': 0.4, 'f1-score': 0.4000000000000001, 'support': 5}, 'micro avg': {'precision': 0.8466257668711656, 'recall': 0.8466257668711656, 'f1-score': 0.8466257668711656, 'support': 163}, 'macro avg': {'precision': 0.8214335664335666, 'recall': 0.7185022385022385, 'f1-score': 0.7536613190730838, 'support': 163}, 'weighted avg': {'precision': 0.8715249474451928, 'recall': 0.8466257668711656, 'f1-score': 0.8393068906313222, 'support': 163}}",0.8372709,100,20,200,100,0.01,0.8,0.4
4,5,0.8098159432411194,"{'Basal': {'precision': 1.0, 'recall': 0.9259259259259259, 'f1-score': 0.9615384615384615, 'support': 27}, 'Her2': {'precision': 1.0, 'recall': 0.38461538461538464, 'f1-score': 0.5555555555555556, 'support': 13}, 'LumA': {'precision': 0.7735849056603774, 'recall': 0.9879518072289156, 'f1-score': 0.8677248677248678, 'support': 83}, 'LumB': {'precision': 0.9375, 'recall': 0.42857142857142855, 'f1-score': 0.588235294117647, 'support': 35}, 'Normal': {'precision': 0.45454545454545453, 'recall': 1.0, 'f1-score': 0.625, 'support': 5}, 'micro avg': {'precision': 0.8098159509202454, 'recall': 0.8098159509202454, 'f1-score': 0.8098159509202454, 'support': 163}, 'macro avg': {'precision': 0.8331260720411663, 'recall': 0.7454129092683309, 'f1-score': 0.7196108357873063, 'support': 163}, 'weighted avg': {'precision': 0.8545568984204823, 'recall': 0.8098159509202454, 'f1-score': 0.7909089570493396, 'support': 163}}",0.8372709,100,20,200,100,0.01,0.8,0.4
