,0,1,2,3,4
0,124.0,4.0,1.0,1.0,5.0
1,1.0,45.0,7.0,11.0,1.0
2,0.0,18.0,358.0,34.0,5.0
3,0.0,12.0,34.0,130.0,0.0
4,3.0,3.0,8.0,1.0,10.0
