,0,1,2,3,4
0,122.0,3.0,1.0,0.0,9.0
1,3.0,39.0,7.0,10.0,6.0
2,0.0,3.0,394.0,14.0,4.0
3,1.0,7.0,60.0,103.0,5.0
4,3.0,0.0,5.0,1.0,16.0
