,Fold,accuracy,mean_accuracy,intermediate_dim,latent_dim,batch_size,epochs_vae,learning_rate,dropout_input,dropout_hidden,dropout_decoder,freeze_weights,classifier_use_z,classifier_loss,reconstruction_loss
0,1,0.5060975551605225,0.5220784,100,20,200,100,0.01,0,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
1,2,0.5766870975494385,0.5220784,100,20,200,100,0.01,0,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
2,3,0.5092024803161621,0.5220784,100,20,200,100,0.01,0,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
3,4,0.5092024803161621,0.5220784,100,20,200,100,0.01,0,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
4,5,0.5092024803161621,0.5220784,100,20,200,100,0.01,0,0.8,True,False,False,categorical_crossentropy,binary_crossentropy
