,Fold,accuracy,other_metrics,mean_accuracy,hidden_1,batch_size,epochs_vae,learning_rate,dropout_input
0,1,0.6785714030265808,"{'Basal': {'precision': 0.8571428571428571, 'recall': 0.8571428571428571, 'f1-score': 0.8571428571428571, 'support': 14}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 7}, 'LumA': {'precision': 0.6451612903225806, 'recall': 0.9523809523809523, 'f1-score': 0.7692307692307692, 'support': 42}, 'LumB': {'precision': 0.7142857142857143, 'recall': 0.2777777777777778, 'f1-score': 0.4, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6785714285714286, 'recall': 0.6785714285714286, 'f1-score': 0.6785714285714286, 'support': 84}, 'macro avg': {'precision': 0.4433179723502304, 'recall': 0.4174603174603174, 'f1-score': 0.40527472527472524, 'support': 84}, 'weighted avg': {'precision': 0.6184990125082291, 'recall': 0.6785714285714286, 'f1-score': 0.6131868131868132, 'support': 84}}",0.67621726,50,64,100,0.001,0.4
1,2,0.738095223903656,"{'Basal': {'precision': 0.8, 'recall': 0.8571428571428571, 'f1-score': 0.8275862068965518, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.14285714285714285, 'f1-score': 0.22222222222222224, 'support': 7}, 'LumA': {'precision': 0.7142857142857143, 'recall': 0.9523809523809523, 'f1-score': 0.8163265306122449, 'support': 42}, 'LumB': {'precision': 0.8181818181818182, 'recall': 0.5, 'f1-score': 0.6206896551724137, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.7380952380952381, 'recall': 0.7380952380952381, 'f1-score': 0.7380952380952381, 'support': 84}, 'macro avg': {'precision': 0.5664935064935065, 'recall': 0.4904761904761905, 'f1-score': 0.4973649229806865, 'support': 84}, 'weighted avg': {'precision': 0.7074675324675325, 'recall': 0.7380952380952381, 'f1-score': 0.697617744415774, 'support': 84}}",0.67621726,50,64,100,0.001,0.4
2,3,0.6904761791229248,"{'Basal': {'precision': 0.9166666666666666, 'recall': 0.7857142857142857, 'f1-score': 0.8461538461538461, 'support': 14}, 'Her2': {'precision': 0.5, 'recall': 0.14285714285714285, 'f1-score': 0.22222222222222224, 'support': 7}, 'LumA': {'precision': 0.6666666666666666, 'recall': 0.9523809523809523, 'f1-score': 0.7843137254901961, 'support': 42}, 'LumB': {'precision': 0.6, 'recall': 0.3333333333333333, 'f1-score': 0.42857142857142855, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6904761904761905, 'recall': 0.6904761904761905, 'f1-score': 0.6904761904761905, 'support': 84}, 'macro avg': {'precision': 0.5366666666666666, 'recall': 0.4428571428571429, 'f1-score': 0.4562522444875386, 'support': 84}, 'weighted avg': {'precision': 0.6563492063492062, 'recall': 0.6904761904761905, 'f1-score': 0.6435377569831351, 'support': 84}}",0.67621726,50,64,100,0.001,0.4
3,4,0.6785714030265808,"{'Basal': {'precision': 0.7, 'recall': 1.0, 'f1-score': 0.8235294117647058, 'support': 14}, 'Her2': {'precision': 0.3333333333333333, 'recall': 0.14285714285714285, 'f1-score': 0.2, 'support': 7}, 'LumA': {'precision': 0.7837837837837838, 'recall': 0.6904761904761905, 'f1-score': 0.7341772151898734, 'support': 42}, 'LumB': {'precision': 0.5, 'recall': 0.5555555555555556, 'f1-score': 0.5263157894736842, 'support': 18}, 'Normal': {'precision': 0.75, 'recall': 1.0, 'f1-score': 0.8571428571428571, 'support': 3}, 'micro avg': {'precision': 0.6785714285714286, 'recall': 0.6785714285714286, 'f1-score': 0.6785714285714286, 'support': 84}, 'macro avg': {'precision': 0.6134234234234234, 'recall': 0.6777777777777778, 'f1-score': 0.6282330547142241, 'support': 84}, 'weighted avg': {'precision': 0.6702649077649078, 'recall': 0.6785714285714286, 'f1-score': 0.6644043760075649, 'support': 84}}",0.67621726,50,64,100,0.001,0.4
4,5,0.6904761791229248,"{'Basal': {'precision': 0.8666666666666667, 'recall': 0.9285714285714286, 'f1-score': 0.896551724137931, 'support': 14}, 'Her2': {'precision': 0.6666666666666666, 'recall': 0.2857142857142857, 'f1-score': 0.4, 'support': 7}, 'LumA': {'precision': 0.6451612903225806, 'recall': 0.9523809523809523, 'f1-score': 0.7692307692307692, 'support': 42}, 'LumB': {'precision': 0.75, 'recall': 0.16666666666666666, 'f1-score': 0.27272727272727276, 'support': 18}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 3}, 'micro avg': {'precision': 0.6904761904761905, 'recall': 0.6904761904761905, 'f1-score': 0.6904761904761905, 'support': 84}, 'macro avg': {'precision': 0.5856989247311828, 'recall': 0.4666666666666667, 'f1-score': 0.4677019532191946, 'support': 84}, 'weighted avg': {'precision': 0.683294930875576, 'recall': 0.6904761904761905, 'f1-score': 0.6258155637465983, 'support': 84}}",0.67621726,50,64,100,0.001,0.4
5,6,0.7037037014961243,"{'Basal': {'precision': 0.6842105263157895, 'recall': 0.9285714285714286, 'f1-score': 0.7878787878787878, 'support': 14}, 'Her2': {'precision': 0.2, 'recall': 0.16666666666666666, 'f1-score': 0.1818181818181818, 'support': 6}, 'LumA': {'precision': 0.825, 'recall': 0.8048780487804879, 'f1-score': 0.8148148148148149, 'support': 41}, 'LumB': {'precision': 0.6428571428571429, 'recall': 0.5, 'f1-score': 0.5625000000000001, 'support': 18}, 'Normal': {'precision': 0.3333333333333333, 'recall': 0.5, 'f1-score': 0.4, 'support': 2}, 'micro avg': {'precision': 0.7037037037037037, 'recall': 0.7037037037037037, 'f1-score': 0.7037037037037037, 'support': 81}, 'macro avg': {'precision': 0.5370802005012532, 'recall': 0.5800232288037167, 'f1-score': 0.549402356902357, 'support': 81}, 'weighted avg': {'precision': 0.7017536124261269, 'recall': 0.7037037037037037, 'f1-score': 0.6969582657854263, 'support': 81}}",0.67621726,50,64,100,0.001,0.4
6,7,0.5569620132446289,"{'Basal': {'precision': 0.6111111111111112, 'recall': 0.8461538461538461, 'f1-score': 0.7096774193548387, 'support': 13}, 'Her2': {'precision': 0.2, 'recall': 0.16666666666666666, 'f1-score': 0.1818181818181818, 'support': 6}, 'LumA': {'precision': 0.7241379310344828, 'recall': 0.5121951219512195, 'f1-score': 0.6000000000000001, 'support': 41}, 'LumB': {'precision': 0.5, 'recall': 0.5294117647058824, 'f1-score': 0.5142857142857143, 'support': 17}, 'Normal': {'precision': 0.2222222222222222, 'recall': 1.0, 'f1-score': 0.3636363636363636, 'support': 2}, 'micro avg': {'precision': 0.5569620253164557, 'recall': 0.5569620253164557, 'f1-score': 0.5569620253164557, 'support': 79}, 'macro avg': {'precision': 0.45149425287356326, 'recall': 0.6108854798955229, 'f1-score': 0.47388353581901976, 'support': 79}, 'weighted avg': {'precision': 0.604791696978515, 'recall': 0.5569620253164557, 'f1-score': 0.5618588026917959, 'support': 79}}",0.67621726,50,64,100,0.001,0.4
7,8,0.7215189933776855,"{'Basal': {'precision': 0.6875, 'recall': 0.8461538461538461, 'f1-score': 0.7586206896551724, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 6}, 'LumA': {'precision': 0.7192982456140351, 'recall': 1.0, 'f1-score': 0.8367346938775511, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.17647058823529413, 'f1-score': 0.3, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.7215189873417721, 'recall': 0.7215189873417721, 'f1-score': 0.7215189873417721, 'support': 79}, 'macro avg': {'precision': 0.681359649122807, 'recall': 0.4711915535444947, 'f1-score': 0.47907107670654464, 'support': 79}, 'weighted avg': {'precision': 0.7775788363313346, 'recall': 0.7215189873417721, 'f1-score': 0.6616226761328713, 'support': 79}}",0.67621726,50,64,100,0.001,0.4
8,9,0.6582278609275818,"{'Basal': {'precision': 0.8333333333333334, 'recall': 0.7692307692307693, 'f1-score': 0.8, 'support': 13}, 'Her2': {'precision': 1.0, 'recall': 0.3333333333333333, 'f1-score': 0.5, 'support': 6}, 'LumA': {'precision': 0.6379310344827587, 'recall': 0.9024390243902439, 'f1-score': 0.7474747474747474, 'support': 41}, 'LumB': {'precision': 0.42857142857142855, 'recall': 0.17647058823529413, 'f1-score': 0.25, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6582278481012658, 'recall': 0.6582278481012658, 'f1-score': 0.6582278481012658, 'support': 79}, 'macro avg': {'precision': 0.5799671592775041, 'recall': 0.4362947430379281, 'f1-score': 0.45949494949494946, 'support': 79}, 'weighted avg': {'precision': 0.6363825320612749, 'recall': 0.6582278481012658, 'f1-score': 0.6113476537527169, 'support': 79}}",0.67621726,50,64,100,0.001,0.4
9,10,0.6455696225166321,"{'Basal': {'precision': 0.8888888888888888, 'recall': 0.6153846153846154, 'f1-score': 0.7272727272727274, 'support': 13}, 'Her2': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 6}, 'LumA': {'precision': 0.6119402985074627, 'recall': 1.0, 'f1-score': 0.7592592592592593, 'support': 41}, 'LumB': {'precision': 1.0, 'recall': 0.11764705882352941, 'f1-score': 0.21052631578947367, 'support': 17}, 'Normal': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 2}, 'micro avg': {'precision': 0.6455696202531646, 'recall': 0.6455696202531646, 'f1-score': 0.6455696202531646, 'support': 79}, 'macro avg': {'precision': 0.5001658374792702, 'recall': 0.34660633484162895, 'f1-score': 0.33941166046429205, 'support': 79}, 'weighted avg': {'precision': 0.6790519973969813, 'recall': 0.6455696202531646, 'f1-score': 0.5590268664885587, 'support': 79}}",0.67621726,50,64,100,0.001,0.4
